title,cook_time,ingredients,instructions,url,scraped_at,servings
"Quick,Healthy And tasty Appam",25 min,1 bowl cooked/leftover rice | 1 bowl Semolina/Suji | 1 bowl curd (alittle sour) | 1 bowl water | 1 grated carrot | 1 finely chopped capsicum | 1 finely chopped onion | 3 tbsp boiled Sweet corn | 1 tbsp chilli garlic ginger paste | 1 tsp salt | 1 tsp chilli flakes | 1 tsp eno | 1 tsp oil (to add in the better) | Required oil to roast Appam | as needed Tomato sauce | 1 cup Masala tea,,https://cookpad.com/eng/recipes/24423569,2025-08-07T11:57:24.839877,
Beetroot puttu,,1 cup Rice Flour | 1 beetroot | Grated coconuts | Pinch salt,,https://cookpad.com/eng/recipes/9688400,2025-08-07T11:57:29.611000,
Palappam recipe | Appam recipe without yeast | Kerala Appam recipe,8 hours,1 cup idli rice or sona masuri rice | 1/4 cup grated coconut | 1/2 tsp sugar | 1/2 tsp salt | 1/2 cup water,,https://cookpad.com/eng/recipes/9184916,2025-08-07T11:57:33.164418,10
Paneer Cheese Rava Appe With Vegetables RecipePaniyaram/ Appam,15 min,"1 cups Sooji | 2 Tbsp Curd | 1 cup Water | 1/2 tsp baking soda/Fruit | 1/4 cup Paneer - grated, or as required | as per requirement Cheese - grated, | 1 Carrot , finely chopped | 1 Onion chopped | 1 Tomato , finely chopped | 1/2 cup Capsicum ( Red, Yellow,Green) | 2 Tbsp Green onion, Chopped | 3 tablespoons Coriander (Dhania) | 1 tsp ginger garlic Green Chilli paste | as required Salt , to taste | as required Ghee Or Oil",,https://cookpad.com/eng/recipes/16676383,2025-08-07T11:57:37.317470,4
Quinoa in upma style,8 min,1/2 cup cooked quinoa | 1/4 tsp cumin seeds | 1 tbsp finely chopped onion | 2 tbsp finely chopped capsicum | 2 tbsp. finely chopped carrot | 2 tbsp finely chopped tomatoes | 1 tbsp boiled lobia beans | 1 tsp coriander leaves | 1 pinch turmeric powder | 1/4 tsp black pepper powder | 1/2 tsp pizza seasonings | 1 tsp schezwan chutney | Salt as per taste | 2 tsp desi ghee or oil,,https://cookpad.com/eng/recipes/22614979,2025-08-07T11:57:41.898132,1
Kokum drumstick sambar,30 min,200 gm Drumstick | 6-7 kokum | 1/2 cup tuver dal(Pigeon pea) | 1 cup yellow pumpkins(cut) | 2 tsp crushed ginger chilli | leaves Some curry | 1 chopped tomato | 1.5 tsp sambar masala | 1/2 tsp red chilli powder | 1 tsp cumin coriander powder | 1/2 tsp turmeric powder | 2 dry red chilli | 2 tsp oil | 1/2 tsp mustard seeds | 1/2 tsp cumin seeds | 1 tsp salt,,https://cookpad.com/eng/recipes/24682428,2025-08-07T11:57:45.309022,4
Vegetable Upma (Restaurant Style),10 min,"2 cups rava | 1/4 tsp mustard seeds | 1-3 curry leaves optional | As needed salt | 1/8 tsp turmeric powder (can skip this) | 1/4 cup chopped veggies- onion, tomato, Peas, carrot, beans etc | As needed fried cashewnuts and peanuts optional | 1 tsp ghee | 2 tsp oil | 1/4 tsp urad chana dal optional | 1 tsp lemon juice | As needed coconut powder and coriander leaves for garnishing",,https://cookpad.com/eng/recipes/24281737,2025-08-07T11:57:49.794315,1
Oats upma,,2 cups oats | Few curry leaves | 1 carrot | 2 onions | 1 tomato | 1/2 tsp Mustard seeds | As required Crushed black pepper | as required Coconut oil | 4 Green chillies | 2 1/2 cups water,,https://cookpad.com/eng/recipes/9660754,2025-08-07T11:57:53.341924,
Lemon pulihora,,2 cups boiled rice | 1 lemon squeezed | 1 table spoon chana dal | Handful peanuts | 1 table spoon mustard and cumin seeds | Handful curry leaves | as per requirement Salt to taste | 1/4 table spoon turmeric | 2 green chilli | 1 red chilli | 3-4 tbsp oil,,https://cookpad.com/eng/recipes/16697943,2025-08-07T11:57:57.853350,
Raw banana puttu,5 min,2 Raw banana | Onion 1 big (thinly sliced) | Green chill 5 (cut into two) | Curry leaves 1 handful | Gram dal 1tbs | 1 cup Grated coconut | 2 tsp Mustard seed | 3 tbs Oil | Garlic 5nos crushed,,https://cookpad.com/eng/recipes/16904500,2025-08-07T11:58:02.234772,
Idiyappam With Peas vegetable Curry,45 min,Idiyappam | 2 cup water | 1 cup rice flour | 1 tsp coconut oil | 1/2 tsp Salt | Peas curry | 1 onion | 5-6 garlic | 1 tbsp red chilli powder | 1/2 tsp turmeric | 1/2 tsp garam masala | 1 cup grated coconut | 1 tbsp oil | 1/4 tsp asafoetida,,https://cookpad.com/eng/recipes/23854096,2025-08-07T11:58:07.133820,4
Cauliflower Sooji Upma,20 min,2 Tbsp groundnut oil | 1/2 Tsp ponch phutan | 1 pinch hing powder | 8-10 curry leaves | 1 Tsp chana dal | 1 Tsp urad dal | 1 Tbsp groundnuts | 1/4 cup chopped onion | 1/2 Tsp grated ginger | 1 Tsp chopped green chilli | 1 dry red chilli | 1 cup cauliflower florets | 2 tomatoes chopped | Salt to taste | 1/4 Tsp turmeric powder | 1/2 Tsp sambar powder | 1 cup roasted sooji | 2.5 cup water | 1/2 Tsp lemon juice,,https://cookpad.com/eng/recipes/16606155,2025-08-07T11:58:11.080215,2-3
Sambar (South India Special),35 min,"Left over dal | Toordal, | masoordal, | chana dal | Ginger garlic paste | 2 tomatoes | Curry leaves | Half ts Mustred seeds | Green chillies | Red chilli | 2 ts Sambar masala | 1 ts Turmeric | Salt as per taste | Tamarind paste",,https://cookpad.com/eng/recipes/17114389,2025-08-07T11:58:15.850245,4
Broken Wheat Upma,25 min,1 cup broken wheat | 4 tspoon cooking oil | 1 tspoon mustard seeds | 1/2 tspoon urad dal | 1 tspoon cumin seeds | Few curry leaves | 1 dried whole red chilli | 7-8 cashunuts | 1 medium size onion chopped | 2 slits green chilli | 1 inch ginger chopped | 1 tomato chopped | 2 tablespoon chopped carrots | 1 small potato peeled and cut into cubes | 2 tablespoon green peas | 1/4 tspoon turmeric powder | 3/4 tspoon salt | 3 cup hot water,,https://cookpad.com/eng/recipes/17316883,2025-08-07T11:58:19.351815,3
Sambar,12 mins,1 cup toor dal | Veggies: | 1.5 cups onions and/or shallots* (large chop) | Half cup okra | 2 drumsticks* (cut to 1 to 2 inch pieces) | 2-3 green chili* | 1.5 cup tomatoes* | 1 cup potatoes* | 1 cup carrots* | 1 cup brinjal | other veggies | Tempered Ingredients: | 1-1.5 teaspoon mustard seeds | 1-1.5 teaspoon cumin | 2-3 dried red chili | 4-6 garlic cloves | 1-1.5 teaspoon fenugreek seeds | Spices: | 2-3 teaspoon sambar powder | Half teaspoon turmeric | 2 teaspoon red chili powder | Quarter teaspoon asafoetida | Other: | 2-3 cups tamarind broth | 3 sprigs curry leaves | Half cup cilantro | Jaggery/sugar (to taste),,https://cookpad.com/eng/recipes/13406087,2025-08-07T11:58:23.219436,
Rich In Iron Beetroot Koki,20 min,1/2 cup whole wheat flour | 1 green chilli chopped | 2 tbsp green coriander leaves chopped | 1/2 tsp cumin seeds | 1/2 cup grated beetroot | Salt as per taste | 3-4 tbsp oil | 1 chopped onion,,https://cookpad.com/eng/recipes/23971928,2025-08-07T11:58:27.860542,2
Bread Upma,10 min,4 bread slices | 1 finely chopped onion | 1 finely chopped tomato | 1/4 cup boiled peas | 1 tsp pav bhaji masala | 1/4 tsp haldi | 1/2 tsp red chilli powder | 1 tbsp chopped garlic | 1/4 tsp chaat masala | 1/2 tsp mustard seeds | as required salt to taste | 8-10 curry leaves | 2 green chilli | As required Chopped coriander | 2 tsp cooking oil,,https://cookpad.com/eng/recipes/16797665,2025-08-07T11:58:32.180858,2
Cauliflower upma,25 min,"150 gms cauliflower | 1 medium sized onions | Carrot, capsicum, French beans,peas 1 bowl (all together) | Salt | Green chillies chopped | Lemon juice 1 tspoon | Aloo bhujia for serving | Oil 2 tspoon | Cumin seeds",,https://cookpad.com/eng/recipes/13566453,2025-08-07T11:58:36.706713,
Mini idli sambar plater,20 mins,1 cup idli batter | For sambar | 1/2 cup toor dal | 3 cup water | 1 onion | 1/4 cup garlic | 1 tomato | 1 lemon sized tamarind | 2 tsp sambar powder | 1 tbsp chopped coriander leaves | As Per Taste Salt | For tempering | 1 tbsp oil groundnut oil | 1 tsp mustard urad dal mix | 1 tsp fenugreek seeds | Few Curry leaves | 1 pinch asafoetida | For topping- | 1 tsp ghee,,https://cookpad.com/eng/recipes/16524989,2025-08-07T11:58:40.222378,1
"#RSC#Plain dosa with chutney,capsicum sambar,and gun powder.",40 min,1 .Dosa batter idli rice 3cups (small cup) | 2 .urad dal (full size)half and quarter cup | 3 .rice 4tsp (small) | 4 .arahar dal or roasted channa dal 4tsp | 5 .salt one tsp | 9 .coconut oil 5tsp | 10 .Non stick tava one | 11 .cooking soda a pinch..,,https://cookpad.com/eng/recipes/16431230,2025-08-07T11:58:44.988642,2
Sweet Potato upma,15 min,"250 gm Sweet Potatoes | 3-4 tbsp grated Fresh grated Coconut | 1/2 Cup Roasted Peanut Powder | 2 tbsp Ghee | 1/2 tsp Cumin Seeds | 1 tbsp Fresh Coriander Leaves, finely chopped | 2-3 Green Chillies, Slit from the Centres | 1/2 tsp Sugar | 1 tsp Lemon Juice | Salt to Taste",,https://cookpad.com/eng/recipes/16761742,2025-08-07T11:58:49.503359,4
Kerala Puttu With Green Gram Curry,30 min,1.5 cups puttu powder | 1 tsp salt | 1.5 cup water (to add in puttu powder) | Green Gram Curry (Moong Curry) | 1.5 cup whole moong (overnight soaked) | 2 tbsp oil | 1 tsp mustard | 1 tsp Asafoetida | 1 onion finely chopped | 1 tomato finely chopped | 1.5 tbsp homemade Sambhar masala powder | 1 tbsp red chilli powder | 1 tsp turmeric | 1 tsp salt | 2 tbsp fresh coriander leaves finely chopped,,https://cookpad.com/eng/recipes/24922131,2025-08-07T11:58:54.322599,2-4
Black Rice Vegetable Upma,5 min,"1/2 cup Black Rice | 2 tbsp. oil | 1/2 tsp. mustard seeds | 1 tsp. urad dal | 1 dry red chili, broken | 2-3 green chilies, slit | 1 sprig curry leaves | 1 tsp. ginger, grated | 1 onion, chopped | handful roasted cashew nuts / peanuts | 1 cup mixed chopped veggies (beans, carrot, cauliflower) | 1/4 cup green peas | salt to taste | 1-2 tbsp. coriander leaves, chopped | 1 tsp. ghee | 1 tsp. lemon juice",,https://cookpad.com/eng/recipes/23894801,2025-08-07T11:58:58.722037,2-3
Fiber Rich Oats Masala Upma,25 min,1 bowl oats | 1 carrot | 3 tbsp Green fresh Peas | 1 onion | 1 Tomato | 3 tbsp fresh coriander | 3 Green chillies | 1 tbsp besan sev | Salt to taste | 1/2 tsp turmeric powder | 1/2 tsp chilli powder | 1 tbsp lemon juice | 1 tbsp oil | 1 cup buttermilk,,https://cookpad.com/eng/recipes/23994191,2025-08-07T11:59:02.855938,
Veggies loaded Rava Upma,,"1 cup suji/rava | 1/4 cup matar/ green peas | 1/4 cup carrot & cauliflower | 1 tomato | 1 onion | 2 green chilli | 1/4 tsp each chana daal, urad daal, mustard seeds | as required Oil | as per taste Salt | 2 strands curry leaves",,https://cookpad.com/eng/recipes/16792754,2025-08-07T11:59:06.726129,
Taro root mor kuzhambu,30 min,1 cup curd | 250 g taro root | 1 tbsp toor dal | 1 tbsp raw rice | 4 green chillies | 1/4 cup grated coconut | 10 shallots | 1 tsp cumin seeds | 1 tbsp oil | 1 tsp mustard seeds | 10 curry leaves | 3 vadagam | 1 red dry chilli | 1/2 tsp turmeric powder | 2 tbsp chopped fresh coriander leaves,,https://cookpad.com/eng/recipes/23916221,2025-08-07T11:59:11.401927,4
Vegetable Upma,10 mins,"1 cup Sooji | 1 large carrot washed, peeled and cubed | 3-4 curry leaves | 1 medium size onion chopped fine | 1 ” ginger chopped fine | 2-3 green chillies chopped fine | 1-2 whole dry red chilli | 1 tsp mustard seeds | Hing | 1 Tbsp Chana Dal | 1 Tbsp Urad Dal | Salt | 1 Tbsp ghee | 2 Tbsp oil | Sugar | 1 ” ginger chopped fine | 1 Tbsp beaten yogurt",,https://cookpad.com/eng/recipes/16793384,2025-08-07T11:59:14.696653,2-3
Amaranth (Rajgira) Upma,15 min,"1 cup Whole Amaranth | 1 Onion, chopped | 1/2 cup Beans, chopped | 1 Capsicum, chopped | 1 Carrot, chopped | 1 Green Chilli, chopped | 1 teaspoon Ginger, chopped | 1/2 cup Peas, chopped | 1 teaspoon Cumin seeds | 6-7 Almonds, soaked | 1 teaspoon Lemon juice | 1 teaspoon Coriander leaves | 1 teaspoon Salt | 1 tablespoon Olive Oil/Ghee | To Garnish | 2-3 Black Raisins | 1 Cashew | 1-2 Cranberries | 2-3 Figs | 2-3 Coriander Stems/Leaves",,https://cookpad.com/eng/recipes/24853420,2025-08-07T11:59:19.319437,2
Barley upma,30 mins,1/2 cup Barley | 1/4 cup peas | 1/4 cup chopped onions | 1/4 cup chopped potatoes | 2 green chilli | 1/2 inch ginger | to taste Salt | Coriander to garnish | 1/2 teaspoon lime juice | 1/2 teaspoon mustard seeds | 1/2 teaspoon chana dal | 1/2 teaspoon urad dal,,https://cookpad.com/eng/recipes/23986673,2025-08-07T11:59:23.910721,2
Oats Upma,15 min,1 cup oats | 1/2 cup semolina | 1 finely chopped onion | 1/2 cup finely chopped capsicum | 1/2 cup finely chopped carrots | 1 tbsp oil | 1 tsp mustard seeds | 1 tsp cumin seeds | 1 tsp urad dal | 1/2 tsp lemon juice | 4-5 curry leaves | 4-5 cashew | 3 cups water | Salt as per taste,,https://cookpad.com/eng/recipes/17257518,2025-08-07T11:59:27.676972,2
Stuffed Appe Recipe|Sooji Appam Recipe Stuffed With PotatoMasala,45 min,Ingredients for stuffed appe recipe : | 1 cup suji | 1/2 cup curd (whisked) | 1 tbsp onion (finely chopped) | 1 tbsp tomato (finely chopped) | 1 tbsp capsicum (finely chopped) | 1 tsp ginger paste | 2 tbsp oil | as required Salt to taste | 1/2 tsp rai (small mustard seeds) | 1/4 tsp baking soda | 1/2 cup water (as needed) | 1 Appam pan | Ingredients for Potato Masala Recipe : | 4 medium boiled potatoes | 1/2 tsp roasted cumin seeds | 1 tsp green chilli (finely chopped) | 1 tsp coriander powder | 1/2 tsp red chilli powder | 1/2 tsp garam masala | 1 tsp dry mango powder | as required Salt to taste | 2 tbsp Fresh coriander (finely chopped),,https://cookpad.com/eng/recipes/16629878,2025-08-07T11:59:31.357859,24
Idiyappam Urad Dal Pakora,10 min,"1 cup leftover Idiyappam | 1/4 cup split urad dal (black gram) soaked for 3-4 hours | to taste salt | 1/4 tsp. turmeric powder | 1/2 tsp. red chilli flakes | 1 tsp. ginger, grated | 1 small onion, finely chopped | 2-3 tbsp. coriander roots, chopped | 1 tsp. kasuri methi, crushed | 1/4 tsp. asafoetida | 1/2 tsp. garam masala powder | pinch baking soda | as needed oil to deep fry",,https://cookpad.com/eng/recipes/9402512,2025-08-07T11:59:35.635479,
Upma,,200 grams semolina | 1 capsicum | 1 tomato | 1 carrot | to taste salt | 1/2 teaspoon mustard seeds | 1/2 teaspoon cumin seeds | 1 small chopped ginger | 2 dry red chilli | cashews as required,,https://cookpad.com/eng/recipes/9541643,2025-08-07T11:59:39.480975,3
Cheesey Vegetable Rava upma,20 min,"1 and half cup of rava | some cashew nuts | 1 serving spoon butter | 5,6 curry leaves, | hing Pinch off | 1 tsp mustard seeds | 1 small chopped capsicum | 1 small,onion, | 2 chilli | 1 tomato | 1/2 tsp turmeric powder, | 1/3 tsp chilli powder, | 1 spoon or more asper need tomato sauce, | salt.as per need | 1 and half glass of water | 1 maggi masala | 2 cheese cube",,https://cookpad.com/eng/recipes/17043729,2025-08-07T11:59:42.825279,1
Railway train upma,,1 cup rava/samolina roasted | 1/2 tsp Cumin seeds | 1/2 tsp Ginger chopped | 1 green chilli chopped | leaves Few curry | 1 dry red chilli | 2 tbsp Peanuts (optional) | 1 tsp Mixed dal or urad and chanadal | 1/2 tsp Mustard | 4 times Water | to taste Salt | 3 tbsp or less oil | 1 onion chopped,,https://cookpad.com/eng/recipes/8860403,2025-08-07T11:59:46.334927,
Quinoa Veg Upma❤️,25 min,"1/2 small bowl of Quinoa | Vegetables as per your choice | 1/2 carrot,capsicum,potato,peas,tomato | Salt to taste | 1 tsp Asafoetida | 1 pinch turmeric powder | 1/2 tsp Red chilli powder | 1 tsp lemon juice | 1 tsp ghee | 1 tsp Cummins seeds | Finely chopped coriander leaves",,https://cookpad.com/eng/recipes/24717868,2025-08-07T11:59:50.278234,
String hopper/ Idiyappam,30 min,2 cups string hopper flour | 11/2 cups water | 1 tsp salt | 1 tsp oil,,https://cookpad.com/eng/recipes/23842945,2025-08-07T11:59:54.698396,4
Sri Lankan chicken curry 🐓🧅🍅,55 mins,"3-4 tbsp coconut oil /sunflower oil 🌻 | 1/2 cup finely chopped onions 🧅 | 5-6 minced garlic 🧄 | 1 "" minced ginger | 7-8 curry leaves 🌱 | 21/2 tbsp roasted Sri Lankan curry powder | 2 cinnamon sticks | Salt to taste 🧂 | 1/2 tsp cayenne powder 🌶️ | 1 tbsp paprika powder 🌶️/ kashmiri red chillies powder 🌶️ | 1 whole chicken 🐓 (cut pieces into chicken thighs, leg pieces) | 2 tbsp green chillies paste | 2 chopped tomato 🍅 | 1 tsp brown sugar | 2 tsp apple cider vinegar 🍎 | 1/2 cup coconut milk 🥥 | 1/2 cup water 💦 | 2 tbsp finely chopped coriander leaves 🌿 | 2 finely chopped green chillies",,https://cookpad.com/eng/recipes/16710160,2025-08-07T11:59:59.886118,6
Soybeans Upma,8 min,1/2 cup soy beans | 5 tbsp grated coconut | 1 tsp Coriander seeds | 2 red dried chilis | 2 pods garlic (optional) | 2 tsp mustard seeds | 4-5 curry leaves Salt to taste | 1 chopped onions | 1/2 tsp Turmeric Powder | Water for boiling | 2-3 tsp roasted peanuts | 1 tbsp olive oil or coconut oil,,https://cookpad.com/eng/recipes/12504564,2025-08-07T12:00:04.363563,
Upma Pesarattu,25 mins,"For Pesarattu :- | 1 cup Green Moong Dal :- (Cleaned, washed and soaked overnight) | 1/2 cup Raw Rice :- (Cleaned, washed and soaked overnight with green moong dal) | 1 inch Ginger | 2-3 Green chillies | 1 tspn Jeera / cumin | To taste Salt | as needed Ghee - To make dosas | For toppings :- | 3 medium sized Onions :- Finely chopped | 1 tbspn Jeera / cumin | 2-3 Green chillies -finely chopped (Optional) | 1 inch Ginger - finely chopped (Optional) | 1 tbspn Oil | For Upma :- | 2 tbspn Oil | 1 tspn each Chana Dal, Urad dal / bengal gram,black split gram | 1/2 tspn Mustard seeds | 6-7 Curry leaves | 3 chopped Green chillies | 1 medium sized Onion chopped | 1 cup Sooji / semolins Dry roasted | To taste Salt | 2 tspn Ghee - (Optional, but this really makes a difference in the taste of upma) | 3 cups Water",,https://cookpad.com/eng/recipes/7186936,2025-08-07T12:00:08.126629,4-5
Proso Millet Upma,25 mins,"for 2 persons 1 small bowl proso millet | 1 chopped onion | 1 chopped carrot | as needed green chopped | 1/2 tsp haldi powder | 1 ntsp red chilly powder | 1/2 tsp green chilly, ginger and garlic paste | 1 tsp roasted cumin powder | leaves chopped corainder | for tadka | leaves few chopped curry | 1 broken whole red chilly | 1/2 tsp mustard seeds | as needed salt | oil for frying",,https://cookpad.com/eng/recipes/16935818,2025-08-07T12:00:12.136493,2
Idli sambar,5 hours,2 cup idli rice | 1 cup urad dal | Salt as per taste | For sambar : | 1/2 cup Tur dal | 1/2 cup mung dal | 1 tomato | 1 green chilli | 1 potato | Half cucumber | 1 carrot | 1 cup bottle gourd | 4 tbsp homemade sambar masal | # For tadaka : | 1 tbsp Jeera | 1 tbsp mustard seeds | 1 pinch hing | leaves Curry | 2 tbsp Oil | 1 tbsp jeera dhanya powder | 1 ts turmeric powder | 8 pieces cut Moringo (shevga),,https://cookpad.com/eng/recipes/22602569,2025-08-07T12:00:16.250559,4
My best ever healthy upma,20 min,1 cup Sooji thick | 3 cups Boiling Water | 1 Cup Chopped Spinach | 3 tsp Chopped Ginger | 2 Chopped Green chilies | 3 tsp Sour Curd | For Tempering | 3 tsp Mustard seeds | 2 tsp Jeera | 1 tsp Asafoetida | 7/8 Curry leaves | 3 tsp Chopped coriander | 4 tsp Grated coconut | 4 tsp Fine sev,,https://cookpad.com/eng/recipes/24677578,2025-08-07T12:00:20.923345,3
Vermicelli upma,25 min,250 gms semolina vermicelli | 1 onion | 3 green chillies | 2 tbsp Peanuts | 2 tbsp oil | to taste Salt | 1/2 tbsp Cumin seeds | 1/2 tbsp Mustard seeds | 1 tbsp Coariander leaves | 500 ml water | 1/2 tsp sugar | 1 tsp lemon juice,,https://cookpad.com/eng/recipes/13842907,2025-08-07T12:00:25.665464,
Bread Upma,,"4 bread slice, chopped | 1 onion, finely chopped (big) | 2 tomato, finely chopped | 1/2 cup coloured bell pepper, finely chopped | 1 tsp mustard seeds | 5-6 curry leaves | 1 green chilli, finely chopped | 1 tsp ginger-garlic paste | 1/2 tsp red chilli powder | 1/2 tsp turmeric powder | 1/2 tsp cumin powder | to taste Salt | 1 tbsp tomato ketchup | as needed Drizzle of lemon juice | as needed Sev, to garnish",,https://cookpad.com/eng/recipes/9274090,2025-08-07T12:00:29.119872,
Tomato Vermicelli Upma,,"1/2 cup roasted vermicelli | 2 tbsp. oil | 1/2 tsp. mustard seeds | 1/2 tsp. cumin seeds | 1 dry red chili | 1 tsp. urad dal | 1/4 tsp. asafoetida | 1 sprig curry leaves | 1 onion, chopped | 1 tsp. garlic, chopped | 1 tsp. ginger, chopped | 2 green chilies, chopped | 1/2 tsp. turmeric powder | 1/2 tsp. roasted cumin powder | 1/2 tsp. roasted coriander powder | 1 tomato, chopped | 1/3 cup frozen green peas | salt to taste | 10-12 roasted cashew | 1 tsp. sambar powder | 1 tsp. lime juice | 1-2 tbsp. coriander leaves, chopped",,https://cookpad.com/eng/recipes/24741870,2025-08-07T12:00:32.277050,
Mandal oggarane (murmura upma),,"4 cups murmura | 1/4 cup puthana(roasted chana) | 1/4 cup dry kopra powder | 8 garlic pods | 3 slit green chillies | 1 onion chopped | 1 spoon thick tamarind juice | 1/2 tsp Salt | as needed Chopped coriander, tomato for garnish | 2 spoon oil | 1/2 tsp jeera | 1/2 tsp mustard | Pinch turmeric",,https://cookpad.com/eng/recipes/8629525,2025-08-07T12:00:35.749130,
Banana flower balls Kuzhambu / Gravy,45 min,1 Plantain flower | 25 gm Tamarind | 1/4 cup Chana dal | 1 Onion finely chopped | 1 Tomato chopped | 2 tbs Coconut Paste (grind with 5 baby onion and little cumin) | 1 tsp Mustard | 1 tsp urad dal | 1/2 tsp Fenugreek | 2 Red chilli | 1 tsp Red chilli powder | 1 tsp Coriander powder | 1/2 tsp Turmeric powder | 1 tsp Salt | 1/2 tsp Fennel seeds | 6 Curry leaves | 4 tbs Oil,,https://cookpad.com/eng/recipes/23935675,2025-08-07T12:00:39.936858,6
No onion Sooji Upma,25 min,2 small bowls of Sooji(Rava) | 3 pinch asafoetida | 1/2 tsp Mustard seeds (Rai) | 1/2 tsp turmeric powder (haldi) | As Per Taste Salt | 1/2 tsp cumin seeds(jeera) | 1/2 tsp grated ginger | 2 tsp udad daal | 2 tsp chana daal | 2 tbsp oil for cooking | 1 small bowl Chopped cabbage(Patta Gobhi) | 1 chopped tomato 🍅 | 4-5 chopped green chillies | Few curry leaves(kadipatta) | As required Chopped coriander,,https://cookpad.com/eng/recipes/16604108,2025-08-07T12:00:45.075890,
Sri Lankan Potato Fry,5 min,"300 g Potato cut into ½"" cubes | 2 1/2 tbs neutral flavored cooking oil | 3 sprigs curry leaves | 6 in. of Pandan Leaf cut into 2"" pieces: ok to omit if not found | 1 lg Onion cut in half and thinly sliced | 2 green chilies cut into small ¼""-⅛"" dice | 1/2 tsp chili flakes | 1 in. Piece of cinnamon broken into thirds | 4 de-poded cardamom seeds lightly ground in a pestle | 5 whole cloves lightly ground in a pestle | Salt to Taste | flesh of 2 tamarind seeds | 1/2 tsp turmeric powder | 1 tsp freshly cracked black pepper",,https://cookpad.com/eng/recipes/15029230,2025-08-07T12:00:49.834286,
Samai upma (Little millet upma),15 mins,1 cup samai (Little millet) | 2 1/2 cup water | 1 carrot finely chopped | 6-7 beans finely chopped | 2 tbsp peas | 1 tbsp oil | Mustard seeds to temper | leaves Few curry | 3 red chilly,,https://cookpad.com/eng/recipes/13068213,2025-08-07T12:00:54.625815,3
Sivappu arsi(Red Rice) and Ragi puttu and Kadalai karai and Nattu Sarkarai,40 min,1 .Red rice puttu powder 2cups | 2 .Ragi puttu powder half glass | 3 .coconut one (fully scrapped) | 4 .Natty Sarkarai or jaggery powder organic 100 grams | 5 .salt half tsp | 6 .lukewarm water 2 cups and quarter glass | 7 .kadalai curry ingredients black chana 250 grams | 8 .onion one no | 9 .tomatoo 2nos | 10 .red chilli powder half tsp | 11 green chilli 2 nos | 12 .salt one tsp | 13 .refined oil or coconut oil 2tsp | 14 .jeera powder half tsp | 15 .dhania powder half tsp | 16 .garam masala powder half tsp(homemade) | 17 .dhania leaves few | 18 .hing few drops | 19 .curry leaves few,,https://cookpad.com/eng/recipes/16941390,2025-08-07T12:00:58.984908,
