recipe_title,original_line,ingredient_name,quantity,unit
California Farm Cookpad Planning,4 pounds lard $8,lard,4.0,pounds
California Farm Cookpad Planning,"1 pound each dried peppers $6, dried garlic $5, baking soda $4",,1.0,pound
California Farm Cookpad Planning,"5 liter box wine concentrate $23, to make 36 bottles of wine",box wine concentrate,5.0,liter
California Farm Cookpad Planning,7 pounds malt $30 to make 50 bottles of beer,malt,7.0,pounds
California Farm Cookpad Planning,1 pound tea $5,tea,1.0,pound
California Farm Cookpad Planning,12 dozen eggs $60,eggs,12.0,dozen
California Farm Cookpad Planning,"10 pound each frozen chicken legs $5, pork shoulder$15, salmon $60, ground beef $40, soy beans to make tofu $5",,10.0,pound
California Farm Cookpad Planning,"1 each bought fresh weekly, lettuce $2, cauliflower $2, cabbage $2, zuchini $1, cucumber 50 cents,",,1.0,each
California Farm Cookpad Planning,"2 each bought fresh weekly, Bananas $1, avocados $1, apples $2, oranges $2",,2.0,each
Idliappam (hoppers),6 cups Boiled Water,water,6.0,cups
Hoppers,2 tb yeast,yeast,2.0,tb
grilled frog hoppers,4 Cleaned frog legs,frog legs,4.0,cleaned
grilled frog hoppers,1 1/2 tsp crab boil seasoning,1/2 tsp crab boil seasoning,1.0,piece
Sugar Hoppers,3 tbsp unsweetened cocoa,unsweetened cocoa,3.0,tbsp
Sugar Hoppers,1/2 tsp vanilla,vanilla,0.5,tsp
Sugar Hoppers,6 roll on floured surface to 1/8 inch thick,on floured surface to 1/8 inch thick,6.0,roll
Sugar Hoppers,7 cut with cookie cutter,with cookie cutter,7.0,cut
Sugar Hoppers,8 bake at 350Â°F for 15 minutes,at 350Â°f,8.0,bake
String hopper/ Idiyappam,11/2 cups water,water,5.5,cups
Beetroot String Hoppers,1 tbsp ghee/oil,ghee/oil,1.0,tbsp
Beetroot String Hoppers,1/2 tsp udad dal,udad dal,0.5,tsp
Beetroot String Hoppers,1/2 tsp chana dal,chana dal,0.5,tsp
Beetroot String Hoppers,1 tsp mustard seeds,mustard seeds,1.0,tsp
Beetroot String Hoppers,1 tsp sesame seeds,sesame seeds,1.0,tsp
Beetroot String Hoppers,1 tsp finely chopped ginger,ginger,1.0,tsp
Beetroot String Hoppers,8 Serve hot.,hot.,8.0,serve
Beetroot String Hoppers,7 up Pound cake,pound cake,7.0,up
Stuffed Sweet Idiyappam (Sweet String Hoppers),2 cups Water (For Boiling),water,2.0,cups
Stuffed Sweet Idiyappam (Sweet String Hoppers),1 tsp Ghee,ghee,1.0,tsp
Stuffed Sweet Idiyappam (Sweet String Hoppers),10 Transfer it into a serving plate. Serve it as a snack or for breakfast.,it into a serving plate. serve it as a snack or,10.0,transfer
String hoppers with chicken curry,3 tomatoes roughly chopped,,3.0,tomatoes
String hoppers with chicken curry,1 mace,mace,1.0,piece
String hoppers with chicken curry,1 star anise,anise,1.0,star
String hoppers with chicken curry,4 cloves,cloves,4.0,piece
String hoppers with chicken curry,2 inch cinnamon,cinnamon,2.0,inch
String hoppers with chicken curry,2 cardamoms,cardamoms,2.0,piece
Stuffed idiyappam nool puttu string hopper,2 1/2 cup water,1/2 cup water,2.0,piece
Stuffed idiyappam nool puttu string hopper,2 onions finely chopped,,2.0,onions
Stuffed idiyappam nool puttu string hopper,1/2 tsp ginger chopped,ginger,0.5,tsp
Stuffed idiyappam nool puttu string hopper,1 tomato chopped,,1.0,tomato
Stuffed idiyappam nool puttu string hopper,1/4 tsp garam masala,garam masala,0.25,tsp
Stuffed idiyappam nool puttu string hopper,3 eggs boiled,,3.0,eggs
Idiyappam (String Hoppers),1-1/4 cup water,1-1/4 cup water,1.0,piece
Idiyappam (String Hoppers),8 Steam it for 10-12 minutes.,it,8.0,steam
Idiyappam (String Hoppers),9 Serve hot.,hot.,9.0,serve
Rice Noodles/ String Hoppers/Santhagai,2 cups idli rice,idli rice,2.0,cups
String hoppers,4 Place this moulds in a pan which is filled with steaming water.,this moulds in a pan which is filled with steaming water.,4.0,place
Kerala style idiyappam /string hoppers,1 cup rice flour/chawal ka aata,rice flour/chawal ka aata,1.0,cup
Kerala style idiyappam /string hoppers,1 1/4 th cup water,1/4 th cup water,1.0,piece
Kerala style idiyappam /string hoppers,8 Once done remove on plate & allow it to cool in room temperature.,done remove on plate & allow it to cool in room temperature.,8.0,once
Idiyappam (String Hopper),2 cups Water,water,2.0,cups
Palappam / Kerala Style Lace Hoppers,1 cup Raw rice soaked overnight or for 4-5 hours,rice,1.0,cup
Palappam / Kerala Style Lace Hoppers,1 cup Boiled cooked rice,rice,1.0,cup
Palappam / Kerala Style Lace Hoppers,1/4 tsp Instant yeast,instant yeast,0.25,tsp
Palappam / Kerala Style Lace Hoppers,1-1/2 cups Warm water,1-1/2 cups warm water,1.0,piece
Mutton string hopper biriyani,10 String hoppers (idiyapam),hoppers idiyapam,10.0,string
Mutton string hopper biriyani,1 tbsp Briyani masala,briyani masala,1.0,tbsp
Mutton string hopper biriyani,1 tsp Garam masala,garam masala,1.0,tsp
Idiyappam. Rice spring hoppers,1 cup water,water,1.0,cup
Idiyappam. Rice spring hoppers,5 Make clyndrical balls.,clyndrical balls.,5.0,make
Idiyappam. Rice spring hoppers,7 Steam cook for 5 mins.Serve with coconut chutney or coconut milk..,cook,7.0,steam
Idiyappam Upma (String Hoppers - South Indian Snack),"3 leftover idiyappam balls, shredded",idiyappam balls shredded,3.0,leftover
Idiyappam Upma (String Hoppers - South Indian Snack),1 tsp. mustard seeds,tsp. mustard seeds,1.0,piece
Idiyappam Upma (String Hoppers - South Indian Snack),1 cup frozen mixed veggies,mixed veggies,1.0,cup
Idiyappam Upma (String Hoppers - South Indian Snack),2-3 tbsp. fried peanuts,2-3 tbsp. fried peanuts,1.0,piece
Colourful Stringhoppers with Crab stew,2 cups Water + 3/4 cup,water + 3/4 cup,2.0,cups
Colourful Stringhoppers with Crab stew,1/4 tsp turmeric,turmeric,0.25,tsp
Colourful Stringhoppers with Crab stew,1/2 cup tamarind juice,tamarind juice,0.5,cup
Colourful Stringhoppers with Crab stew,1 tsp mustard seeds,mustard seeds,1.0,tsp
Colourful Stringhoppers with Crab stew,3 cups water,water,3.0,cups
Idiyappam Payasam,1 cup idiyappam (string hoppers),idiyappam string hoppers,1.0,cup
Idiyappam Payasam,1 tsp. rose water,tsp. rose water,1.0,piece
Idiyappam (Kerala Style String Hoppers),2 1/2 Cups Water Boiling,1/2 cups water boiling,2.0,piece
Rice Hoppers,2 Cups Raw rice,rice,2.0,cups
Rice Hoppers,4 Cups Water,water,4.0,cups
Rice Hoppers,1/2 Cup Rice Cooked,rice,0.5,cup
Rice Hoppers,1 Teaspoon Active Dried Yeast,active yeast,1.0,teaspoon
String hoppers / Idiyappam Delight,1 Capsicum chopped,,1.0,capsicum
String hoppers / Idiyappam Delight,1 Teaspoon soya sauce,soya sauce,1.0,teaspoon
String hoppers / Idiyappam Delight,1 First make scrambled egg.Set aside,make scrambled egg.set aside,1.0,first
String hoppers / Idiyappam Delight,2 Scramble string hoppers.,string hoppers.,2.0,scramble
Prawn stuffed string hoppers,1 Teaspoon turmeric,turmeric,1.0,teaspoon
Idiyappam,1 1/4 cup water,1/4 cup water,1.0,piece
Idiyappam,"8 Further, steam it for 10 minutes.",further steam it,8.0,piece
Idiyappam,1 1/2 Cups water,1/2 cups water,1.0,piece
Idiyappam Urad Dal Pakora,1 cup leftover Idiyappam,leftover idiyappam,1.0,cup
Idiyappam Urad Dal Pakora,"1 tsp. ginger, grated",tsp. ginger,1.0,piece
Idiyappam Urad Dal Pakora,"2-3 tbsp. coriander roots, chopped",2-3 tbsp. coriander roots,1.0,piece
Idiyappam Urad Dal Pakora,"1 tsp. kasuri methi, crushed",tsp. kasuri methi crushed,1.0,piece
Idiyappam Urad Dal Pakora,1/4 tsp. asafoetida,tsp. asafoetida,0.25,piece
Kerala idiyappam recipe| nool puttu or sevai with rice flour,1 1/2 cups salted boiling water,1/2 cups salted boiling water,1.0,piece
Idiyappam and kadalai curry,1 cup black chana,black chana,1.0,cup
Idiyappam and kadalai curry,1/4 teaspoon mustard seeds,mustard seeds,0.25,teaspoon
Vegetable Sambar Idiyappam,1 tbsp Ghee,ghee,1.0,tbsp
Vegetable Sambar Idiyappam,1 cup Hot Water (for kneading),hot water,1.0,cup
Vegetable Sambar Idiyappam,2 tbsp Yellow Moong Dal (split yellow lentils),yellow moong dal split yellow lentils,2.0,tbsp
Vegetable Sambar Idiyappam,1 Drumstick - cut into 2-inch pieces,- cut into 2-inch pieces,1.0,drumstick
Vegetable Sambar Idiyappam,1/2 tsp Mustard Seeds,mustard seeds,0.5,tsp
Vegetable Sambar Idiyappam,1/4 tsp Hing,hing,0.25,tsp
Vegetable Sambar Idiyappam,2 tbsp Sambhar Masala,sambhar masala,2.0,tbsp
Vegetable Sambar Idiyappam,1 tbsp Jaggery,jaggery,1.0,tbsp
Vegetable Sambar Idiyappam,3 cups Water,water,3.0,cups
Idiyappam with chana garlic curry,1/2 tbsp ghee,ghee,0.5,tbsp
Idiyappam with chana garlic curry,1 cup sprouts chana,sprouts chana,1.0,cup
Idiyappam with chana garlic curry,1/2 tbsp grated ginger,ginger,0.5,tbsp
Idiyappam with chana garlic curry,1/4 tbsp mustard seeds,mustard seeds,0.25,tbsp
Idiyappam with chana garlic curry,1 tablespoon chopped coriander,coriander,1.0,tablespoon
Rava Idiyappam & Paya,4 cup water,water,4.0,cup
Rava Idiyappam & Paya,1 tsp kaskas,kaskas,1.0,tsp
Rava Idiyappam & Paya,1 inch ginger,ginger,1.0,inch
Rava Idiyappam & Paya,8 garlic pods,pods,8.0,garlic
Rava Idiyappam & Paya,3 green cardamom,cardamom,3.0,green
Rava Idiyappam & Paya,1 star annise,annise,1.0,star
Idiyappam With Peas vegetable Curry,2 cup water,water,2.0,cup
Idiyappam With Peas vegetable Curry,1/2 tsp turmeric,turmeric,0.5,tsp
Idiyappam With Peas vegetable Curry,1/2 tsp garam masala,garam masala,0.5,tsp
Idiyappam With Peas vegetable Curry,1/4 tsp asafoetida,asafoetida,0.25,tsp
Idiyappam { Rice Sevai } { Morning Breakfast },1 packet rice sevai,rice sevai,1.0,packet
Idiyappam { Rice Sevai } { Morning Breakfast },1/4 bowl frozen peas,peas,0.25,bowl
Idiyappam { Rice Sevai } { Morning Breakfast },1/4 bowl frozen corn ğŸŒ½,corn ğŸŒ½,0.25,bowl
Idiyappam { Rice Sevai } { Morning Breakfast },1/2 tsp haldi,haldi,0.5,tsp
Idiyappam { Rice Sevai } { Morning Breakfast },2 tbsp chopped coriander,coriander,2.0,tbsp
Ragi millet idiyappam/ Finger millet idiyappam,11/2 cup jaggery,jaggery,5.5,cup
Ragi millet idiyappam/ Finger millet idiyappam,3/4 cup water,water,0.75,cup
Paya soup/Mutton leg soup with idiyappam/ healthy breakfast for kids,3 cloves,cloves,3.0,piece
Paya soup/Mutton leg soup with idiyappam/ healthy breakfast for kids,4 cardamoms,cardamoms,4.0,piece
Paya soup/Mutton leg soup with idiyappam/ healthy breakfast for kids,1 stick cinnamon,cinnamon,1.0,stick
Sabudana Idiyappam with sweet coconut chutney,1/2 cup Soaked sabudana -,,0.5,cup
Sabudana Idiyappam with sweet coconut chutney,1/2 cup For coconut chutney - fresh coconut -,,0.5,cup
Kothu idiyappam,4 Idiyappam,idiyappam,4.0,piece
Kothu idiyappam,2 stick Curry leaf,curry leaf,2.0,stick
Rice flour Idiyappam,2 cup water,water,2.0,cup
Idiyappam/ Rice Noodles,4 glasses water,water,4.0,glasses
Idiyappam/ Rice Noodles,"1 tsp mustard seeds,",mustard seeds,1.0,tsp
Idiyappam/ Rice Noodles,1tsp cumin seeds,1tsp cumin seeds,1.0,piece
Idiyappam/ Rice Noodles,1tsp urad dal,1tsp urad dal,1.0,piece
Curd Idiyappam,"1/2 cup yoghurt, whisked",yoghurt whisked,0.5,cup
Curd Idiyappam,1/2 tsp. mustard seeds,tsp. mustard seeds,0.5,piece
Curd Idiyappam,"2 green chilies, slit",chilies slit,2.0,green
Curd Idiyappam,2 tbsp. peanuts,tbsp. peanuts,2.0,piece
Curd Idiyappam,1 Crumbled idiyappam.,idiyappam.,1.0,crumbled
Ragi Idiyappam,1 3/4 cup water,3/4 cup water,1.0,piece
Ragi Idiyappam,"7 Finally, serve ragi idiyappam. ENJOYYY!!!",finally serve ragi idiyappam. enjoyyy!!!,7.0,piece
Sama rice nool putu (idiyappam),1 cup raw rice soaked 2hours,rice,1.0,cup
Sama rice nool putu (idiyappam),1 cup sama rice soaked 2 hours,sama rice,1.0,cup
Idiyappams,2.5 cups water,water,2.5,cups
Idiyappam (rice flour and amrutham podi),3 spoons amrutham podi,amrutham podi,3.0,spoons
Idiyappam (rice flour and amrutham podi),750 ml water,water,750.0,ml
Idiyappam With Tomato kurma,1 cup water,water,1.0,cup
Idiyappam With Tomato kurma,2 tbsp chopped spinach,spinach,2.0,tbsp
Idiyappam With Tomato kurma,1 tbsp chopped coriander,coriander,1.0,tbsp
Idiyappam With Tomato kurma,1 tsp turmeric,turmeric,1.0,tsp
Idiyappam With Tomato kurma,7 cashews,cashews,7.0,piece
Idiyappam With Tomato kurma,1 tsp garam masala,garam masala,1.0,tsp
Idiyappam With Tomato kurma,1/4 cup water,water,0.25,cup
Idiyappam With Tomato kurma,1 tej patta,patta,1.0,tej
Idiyappam,1 tbsp Ghee,ghee,1.0,tbsp
Idiyappam,2 Keep 2 glasses of boiling water ready,2 glasses of boiling water ready,2.0,keep
Idiyappam,9 Steam for 8 to 10 minutes on fast gas. We can even make big idiyappam in a holed dish,,9.0,steam
Vegetable kottu Roti,"2 cups chopped or shredded vegetables of your choice.(cabbage,",or shredded vegetables of your choice.cabbage,2.0,cups
Vegetable kottu Roti,1/2 cup left over curry (optional),left over curry optional,0.5,cup
Vegetable kottu Roti,1/4 cup crumbled paneer or toffu (optional),crumbled paneer or toffu optional,0.25,cup
Vegetable kottu Roti,1/2 tsp chopped ginger,ginger,0.5,tsp
Vegetable kottu Roti,1 tsp Lemon juice,lemon juice,1.0,tsp
Vegetable kottu Roti,1 layered roti or paratha,roti or paratha,1.0,layered
Vegetable kottu Roti,4 Serve hot.,hot.,4.0,serve
Egg kothu chapati,4 chapatis,chapatis,4.0,piece
Egg kothu chapati,3 eggs,eggs,3.0,piece
Egg kothu chapati,2 onions (chopped),,2.0,onions
Egg kothu chapati,1 tomato (chopped),,1.0,tomato
Egg kothu chapati,1/4 tsp garam masala,garam masala,0.25,tsp
Egg kothu roti,4 Rotis,rotis,4.0,piece
Egg kothu roti,6 eggs,eggs,6.0,piece
Egg kothu roti,4 Ready to serve.,to serve.,4.0,ready
Kothu Chapati,4 Chapati,chapati,4.0,piece
Kothu Chapati,3 eggs,eggs,3.0,piece
Kothu Chapati,1/2 tsp mustard seeds,mustard seeds,0.5,tsp
Kothu Chapati,2 cardamom,cardamom,2.0,piece
Kothu Chapati,2 cloves,cloves,2.0,piece
Kothu Chapati,1/2 tsp garam masala,garam masala,0.5,tsp
Kothu Chapathi,4 Chapathi,chapathi,4.0,piece
Kothu Chapathi,1/2 cup any kuruma/salna,any kuruma/salna,0.5,cup
Kothu Chapathi,1 onion chopped,,1.0,onion
Kothu Chapathi,1 tomato chopped,,1.0,tomato
Kothu Chapathi,1 Cut chapathi into pieces. Keep it aside,chapathi into pieces. keep it aside,1.0,cut
Lauki kottu,1/2 teaspoon mustard seeds,mustard seeds,0.5,teaspoon
Lauki kottu,1/2 teaspoon urad daal,urad daal,0.5,teaspoon
Lauki kottu,1/2 teaspoon jeera / cumin,jeera / cumin,0.5,teaspoon
Lauki kottu,1 handful yellow moong dal,yellow moong dal,1.0,handful
Lauki kottu,1 handful toor daal,toor daal,1.0,handful
Malabar kothu parotta (Egg minced bread),1 tsp minced ginger,ginger,1.0,tsp
Malabar kothu parotta (Egg minced bread),2 large eggs,eggs,2.0,large
Malabar kothu parotta (Egg minced bread),1/4 cup chopped cilantro,cilantro,0.25,cup
Malabar kothu parotta (Egg minced bread),1 tsp lemon/lime juice,lemon/lime juice,1.0,tsp
Malabar kothu parotta (Egg minced bread),7 Serve hot.,hot.,7.0,serve
Kothu Parotta,4 Layered Parotta,parotta,4.0,layered
Kothu Parotta,4 Eggs,eggs,4.0,piece
Kothu Parotta,2 onion (chopped finely),finely,2.0,onion
Kothu Parotta,1 Bay Leaf,leaf,1.0,bay
Kothu Parotta,1 small cinnamon,cinnamon,1.0,small
Kothu Parotta,1/2 tsp Cumin Seeds,cumin seeds,0.5,tsp
Neymeen kothu fry,1/2 tsp perumgeera,perumgeera,0.5,tsp
Neymeen kothu fry,1/2 tsp coriander whole(optional),coriander wholeoptional,0.5,tsp
Neymeen kothu fry,2 tsp Tamarind water,tamarind water,2.0,tsp
Neymeen kothu fry,1 Grind 2-10 ingredients.,2-10 ingredients.,1.0,grind
Neymeen kothu fry,5 Serve it hot with rice or chappatis,it hot with rice or chappatis,5.0,serve
Egg kothu idly,4 idly,idly,4.0,piece
Egg kothu idly,10 cashews,cashews,10.0,piece
Egg kothu idly,1 tsp chopped ginger,ginger,1.0,tsp
Egg kothu idly,2 eggs,eggs,2.0,piece
Kothu chappathi,3 chappathi,chappathi,3.0,piece
Kothu chappathi,1 g coriander,coriander,1.0,g
Kothu chappathi,1/8 tsp Turmeric,turmeric,0.125,tsp
Kothu Paratha,5 Roti/ chapati,roti/ chapati,5.0,piece
Kothu Paratha,3 tbsp Aloo gobhi sabji,aloo gobhi sabji,3.0,tbsp
Kothu Paratha,1 tsp peanuts,peanuts,1.0,tsp
Kothu Paratha,1/2 tsp mustard,mustard,0.5,tsp
Kothu Paratha,1/4 tsp cumin seeds/ jeera,cumin seeds/ jeera,0.25,tsp
Kothu Neer Dosa/ Kuttu Dosa,1 tsp Mustard seeds,mustard seeds,1.0,tsp
Kothu Neer Dosa/ Kuttu Dosa,1 tsp Chana dal,chana dal,1.0,tsp
Kothu Neer Dosa/ Kuttu Dosa,2 pinch Hing,hing,2.0,pinch
Kothu Neer Dosa/ Kuttu Dosa,2 Prepared Neer Dosas Ragi Millet Dosa (Ragi Dose),neer dosas ragi millet dosa ragi dose,2.0,prepared
Kothu Neer Dosa/ Kuttu Dosa,1 tablespoon Water(use only if needed if mixture gets too dry),wateruse only if needed if mixture gets too dry,1.0,tablespoon
Cabbage Kottu,1/2 cup Cabbage,cabbage,0.5,cup
Cabbage Kottu,2 tsp Moong dal,moong dal,2.0,tsp
Kothu kaari Kulambu,200 grams kothukari,kothukari,200.0,grams
Kothu Chappathi,2 Chappathi,chappathi,2.0,piece
Kothu Chappathi,2 eggs,eggs,2.0,piece
Kothu Chappathi,1 cup any kuruma (veg or nonveg),any kuruma veg or nonveg,1.0,cup
Kothu Chappathi,1 Chop chappathis into fine pieces.,chappathis into fine pieces.,1.0,chop
Egg Kothu Parotta,1/4 cup frozen peas,peas,0.25,cup
Egg Kothu Parotta,2 Eggs,eggs,2.0,piece
Egg Kothu (Minced) Paratha,4 parathas shredded,shredded,4.0,parathas
Egg Kothu (Minced) Paratha,1 onion finely chopped,,1.0,onion
Egg Kothu (Minced) Paratha,1 tomato finely chopped,,1.0,tomato
Mutton kheema Kothu Curry Masala,3 onions (finely chopped),,3.0,onions
Mutton kheema Kothu Curry Masala,1 tomato (chopped),,1.0,tomato
Mutton kheema Kothu Curry Masala,1/4 cup water,water,0.25,cup
Fried chicken kothu parotta,1 tbsp ginger paste,ginger paste,1.0,tbsp
Fried chicken kothu parotta,3 eggs,eggs,3.0,piece
Fried chicken kothu parotta,6 maida parotta,parotta,6.0,maida
Kothu chapathi,"4 Chapati, cut into strips",chapati cut into strips,4.0,piece
Kothu chapathi,2 Eggs scrambled,scrambled,2.0,eggs
Kothu chapathi,2 Onion sliced,,2.0,onion
Kothu chapathi,1 Tomato chopped,,1.0,tomato
Kothu chapathi,Calpis for 30 oz glass,calpis,1.0,piece
Mundri kothu moong dal balls,750 gm palm jaggery,palm jaggery,750.0,gm
Hot â€˜andâ€™ Spicy Chicken Kothu Paratha,4 left over or freshly made parathas,over or freshly made parathas,4.0,left
Hot â€˜andâ€™ Spicy Chicken Kothu Paratha,1 tbsp soy sauce,soy sauce,1.0,tbsp
Hot â€˜andâ€™ Spicy Chicken Kothu Paratha,2 tbsp ketchup,ketchup,2.0,tbsp
Hot â€˜andâ€™ Spicy Chicken Kothu Paratha,1 tsp garam masala,garam masala,1.0,tsp
Hot â€˜andâ€™ Spicy Chicken Kothu Paratha,1/2 cup curd,curd,0.5,cup
Kothu Parotta,1 tsp mustard seeds,mustard seeds,1.0,tsp
Kothu Parotta,1/2 tsp cumin seeds,cumin seeds,0.5,tsp
Kothu Parotta,1/4 tsp asafoetida,asafoetida,0.25,tsp
Kothu Parotta,1/2 cup gravy / stock,gravy / stock,0.5,cup
Murungai Keerai Poricha Kottu,2 cups Murungai keerai or Moringa,murungai keerai or moringa,2.0,cups
Murungai Keerai Poricha Kottu,1 cup Moong dal,moong dal,1.0,cup
Murungai Keerai Poricha Kottu,1 tsp Cumin/jeera,cumin/jeera,1.0,tsp
Murungai Keerai Poricha Kottu,1 tbspn Oil/ghee,oil/ghee,1.0,tbspn
Murungai Keerai Poricha Kottu,1/4 tsp Mustard seeds,mustard seeds,0.25,tsp
Egg Kothu Parotta,5 Parotta,parotta,5.0,piece
Egg Kothu Parotta,2 Onion chopped,,2.0,onion
Egg Kothu Parotta,2 Tomato chopped,,2.0,tomato
Egg Kothu Parotta,5 Eggs,eggs,5.0,piece
Egg Kothu Parotta,1 tsp Mustard seeds,mustard seeds,1.0,tsp
Kottu Egg Parotta,2 small leftover paranthas(Kerela/any normal),leftover paranthaskerela/any normal,2.0,small
Kottu Egg Parotta,1.5 teaspoon cumin seeds,cumin seeds,1.5,teaspoon
Kothu Parota,5 Ready made Kerala Parota,made kerala parota,5.0,ready
Kothu Parota,1 Onion big,big,1.0,onion
Kothu Parota,1 Carrot big,big,1.0,carrot
Kothu Parota,9 Garnish with chopped coriander.,with coriander.,9.0,garnish
Sri Lankan Yellow Rice (Kaha Bath),6 Cups water,water,6.0,cups
Sri Lankan Yellow Rice (Kaha Bath),4 Cloves,cloves,4.0,piece
Sri Lankan Yellow Rice (Kaha Bath),3-4 Cinnamon sticks,3-4 cinnamon sticks,1.0,piece
Sri Lankan Yellow Rice (Kaha Bath),4 Cardamom Pods,pods,4.0,cardamom
Sri Lankan Yellow Rice (Kaha Bath),1 Pandan leaf,leaf,1.0,pandan
Sri Lankan Yellow Rice (Kaha Bath),1 Teaspoon Turmeric,turmeric,1.0,teaspoon
Sri Lankan Yellow Rice (Kaha Bath),1 tablespoon Pure Ghee,pure ghee,1.0,tablespoon
Stir-Fried Yellow Rice Noodles with Soy Sauce (Pad See Ew),2 large eggs,eggs,2.0,large
Yellow Rice with JalapeÃ±os and Tomatoes,1/4 tsp Turmeric,turmeric,0.25,tsp
Yellow Rice with JalapeÃ±os and Tomatoes,1 3/4 cups Water*,3/4 cups water*,1.0,piece
Hainanese Chicken with Yellow Rice,1 tsp Cooking Wine,cooking wine,1.0,tsp
Hainanese Chicken with Yellow Rice,1/2 tsp Ground Turmeric,turmeric,0.5,tsp
Hainanese Chicken with Yellow Rice,1 cup Jasmine Rice,jasmine rice,1.0,cup
Hainanese Chicken with Yellow Rice,1 tsp Ground Turmeric,turmeric,1.0,tsp
Hainanese Chicken with Yellow Rice,2 tbsp Soy Sauce,soy sauce,2.0,tbsp
Hainanese Chicken with Yellow Rice,1/2 tbsp Minced Ginger,ginger,0.5,tbsp
Burrito bowl - Meal prep,2 cup Store-bought yellow rice,store-,2.0,cup
Burrito bowl - Meal prep,0.5 tbsp gochujang (Korean chili paste),gochujang korean chili paste,0.5,tbsp
