recipe_id,ingredient,unit,quantity
1,Jackfruit Seeds - 125g,,
1,Turmeric Powder - ½ teaspoon,,
1,Red Chili Powder - ½ teaspoon,,
1,Salt - As you want,,
1,Cooking Oil - As you want,,
2,Bitter Gourd - 100g,,
2,Onion - 37 1/2g,,
2,Green chili - 3/4 or 4,,
2,Coriander leaves - As you want,,
2,Curd - 1/2 tablespoons,,
2,Turmeric powder - ¼ teaspoon,,
2,Salt - As you want (KETO people use the Himalayan Pink Salt),,
2,Cooking oil - As you want (KETO people use the Organic Coconut Oil),,
3,Ash gourd/Winter melon - 166 2/3g (Before cleaning),,
3,Onion - 25g,,
3,Green chili - 1 or 4,,
3,Dried red chili - 1/3 or 2,,
3,Curry leaves - Few,,
3,Thick coconut milk - 33 1/3ml,,
3,Mustard seeds - ¼ teaspoon,,
3,Turmeric powder - ¼ teaspoon,,
3,Water - 50ml,,
3,Salt - As you want,,
3,Cooking oil - As you need,,
4,Chickpea - 50g,,
4,Tomato - 50g,,
4,Onion - 30g,,
4,Coriander leaves - As you want,,
4,Green chili - 2/5 or 3,,
4,Garlic clove - 3/5 or 4,,
4,Ginger - A small root (about the size of a garlic clove),,
4,Bay leaf - 1/5,,
4,Clove - 3/5 or 4,,
4,Curry powder - 2/5 tablespoons,,
4,Turmeric powder - ¼ teaspoon,,
4,Fennel seeds - 1/5 teaspoon,,
4,Water - 60ml,,
4,Salt - As you want,,
4,Cooking oil - As you want,,
5,Tomato - 30g,,
5,Turmeric powder - ½ teaspoon,,
5,Fenugreek seeds - ¼ teaspoon,,
5,Onion - 6g,,
5,Curry leaves - Few,,
5,Green chili - 3/5 or 4,,
5,Lime - ½,,
5,Thin coconut milk - 70ml,,
5,Thick coconut milk - 40ml,,
5,Salt - As you wish,,
6,Eggplant - 66 2/3g,,
6,Potato - 66 2/3g,,
6,Tomato - 33 1/3g,,
6,Banana pepper - 16 2/3g,,
6,Onion - 25g,,
6,Garlic - 1 or 7,,
6,Curry powder - 1/2 tablespoons,,
6,Fenugreek seeds - ½ teaspoon,,
6,Turmeric powder - ½ teaspoon,,
6,Mustard seeds - ½ teaspoon,,
6,Thick coconut milk - 16 2/3ml,,
6,Thin coconut milk - 100ml,,
6,Thin tamarind juice - 33 1/3ml,,
6,Curry leaves - Few,,
6,Salt - As you want,,
6,Cooking oil - As you want,,
7,Shallots/Small Onion - 500g (After peel),,
7,Carrot - 200g,,
7,Butter Bonchi - 200g,,
7,Banana Pepper - 150g,,
7,Dates - 200g,,
7,Green chili - 100g,,
7,Garlic cloves - 7 or 8,,
7,Ginger - Medium size (About the size of 2 garlic cloves),,
7,Mustard seeds - 50g,,
7,Sugar - 50g,,
7,Dried red chili - 30g,,
7,Vinegar - 300ml,,
7,Salt - As you want,,
8,Agathi keerai - 18 3/4g,,
8,Onion - 18 3/4g,,
8,Green chili - 3/4 or 4,,
8,Turmeric powder - ½ teaspoon,,
8,Semi thick coconut milk - 125ml,,
8,Thick tamarind juice - 12 1/2ml,,
8,Water - 75ml,,
8,Salt - As you want (KETO people use the Himalayan Pink Salt),,
9,Eggplant - 125g,,
9,Thick coconut milk - 50ml,,
9,Water - 75ml,,
9,Onion - 12 1/2g,,
9,Green chili - 1 or 3,,
9,Garlic clove - 1/2 or 2,,
9,Curry leaves - Few,,
9,Turmeric powder - ¼ teaspoon,,
9,Salt - As you need,,
10,Pumpkin - 1/8kg,,
10,Onion - 12 1/2g,,
10,Green chili - 1/4 or 3,,
10,Dried red chili - 1/4 or 3,,
10,Garlic clove - 3/8 or 4,,
10,Turmeric powder - ½ teaspoon,,
10,Cumin seeds - ½ teaspoon,,
10,Mustard seeds - ½ teaspoon,,
10,Black Pepper - ½ teaspoon,,
10,Thick coconut milk - 18 3/4ml,,
10,Water - 25ml,,
10,Curry leaves - Few,,
10,Salt - As you want,,
10,Cooking oil - As you want,,
11,Grated coconut - 50g,,
11,Onion - 12 1/2g,,
11,Green chili - 2 1/2 to 12,,
11,Thick tamarind juice - 1/4 ½ tablespoon,,
11,Sugar - ½ teaspoon,,
11,Salt - As you need (KETO people use the Himalayan Pink Salt),,
12,=====For Curry=====,,
12,Boneless mutton - 14 2/7g,,
12,Potato - 14 2/7g,,
12,Onion - 7 1/7g,,
12,Green chili - 1/7 or 6,,
12,Curry leaves - Few,,
12,Minced ginger - 0.03 tablespoon,,
12,Curry powder - 1/12 tablespoon,,
12,Turmeric powder - ½ teaspoon,,
12,Lime - ½,,
12,Salt - As you need,,
12,Cooking oil - As you need,,
12,=====For wrapper=====,,
12,All-purpose flour - 28 4/7g,,
12,Water - 50ml,,
12,Breadcrumbs - 7 1/7g,,
12,Salt - as you want,,
13,Full cream milk powder - 5 1/3g,,
13,Sugar - 3 1/3g,,
13,Butter - 0.03 tablespoons,,
13,Grated coconut - 1/13 tablespoons,,
13,Water - 2/13 tablespoons,,
13,Ground cardamom - 0.01 ½ teaspoon,,
13,Vanilla extract - 0.01 tablespoon,,
13,Food coloring - 0.01 teaspoon,,
13,Cloves - 1 1/3,,
14,Spring onion flower - 83 1/3g,,
14,Grated coconut - 2/3 tablespoons,,
14,Onion - 13 1/3g,,
14,Green chili - 2/3 or 3,,
14,Turmeric powder - ¼ teaspoon,,
14,Salt - As you wish,,
14,Cooking oil - 1/3 tablespoon,,
15,Fish - 2 or 5 pieces (Recommend to use fish head parts),,
15,Mango - 1/2 (Medium Size),,
15,Onion - 25g,,
15,Green chili - 1 or 3,,
15,Curry leaves - Few,,
15,Salt - As you need,,
15,Turmeric powder - ½ teaspoon,,
15,Thin coconut milk - 125ml,,
15,Thick coconut milk - 50ml,,
16,Grated coconut - 3 full tablespoons,,
16,Dried red chili - 3 to 8,,
16,Shallot/Small onion - 25g,,
16,Tamarind - Small portion with 1 1/2 or 4 seeds,,
16,Sugar - ½ teaspoon,,
16,Salt - As you want,,
16,Water - 1/2 or 2 teaspoons,,
17,Green Bean/Bonchi - 75g,,
17,Onion - 25g,,
17,Green chili - 1 or 3,,
17,Turmeric powder - Less than ¼ teaspoon,,
17,Water - 37 1/2ml,,
17,Thick coconut milk - 50ml,,
17,Curry leaves - Few,,
17,Cooking oil - As you need,,
17,Salt - As you need,,
18,Cabbage - 1/8kg,,
18,Potato - 31 1/4g,,
18,Onion - 18 3/4g,,
18,Green chili - 3/8 or 4,,
18,Curry leaves - Few,,
18,Turmeric powder - ½ teaspoon,,
18,Salt - As you want,,
18,Thick coconut milk - 31 1/4ml,,
18,Cooking oil - 1/4 tablespoons,,
19,Bitter Gourd - 100g,,
19,Onion - 41 2/3g,,
19,Green chili - 5/6 or 6,,
19,Thick coconut milk - 2/3 tablespoons,,
19,Very thick tamarind juice - 1/3 tablespoons,,
19,Turmeric powder - ½ teaspoon,,
19,Sugar - 1/6 teaspoon,,
19,Salt - As you want,,
19,Cooking oil - As you want,,
20,Tapioca/Cassava - 208 1/3g,,
20,Onion - 20 5/6g,,
20,Green chili - 1/2 or 4,,
20,Lime - ½,,
20,Fenugreek seeds - ¼ teaspoon,,
20,Turmeric powder - ½ teaspoon,,
20,Curry leaves - Few,,
20,Salt - As you want,,
20,Thick coconut milk - 33 1/3ml,,
20,Water - 100ml,,
21,Chickpeas - 83 1/3g,,
21,Water - As needed,,
21,Onion - 50g,,
21,Dried red chili - 2/3 or 3,,
21,Mustard seeds - ½ teaspoon,,
21,Salt - As you want,,
21,Curry leaves - Few,,
21,Cooking oil - As you want,,
22,Potato - 16 2/3g,,
22,Pumpkin - 16 2/3g,,
22,Carrot - 16 2/3g,,
22,Eggplant - 16 2/3g,,
22,Tomato - 16 2/3g,,
22,Drumstick - 16 2/3g,,
22,Onion - 16 2/3g,,
22,Dhal - 33 1/3g,,
22,Coriander leaves - As you need,,
22,Green chili - 1/3 or 3,,
22,Dried red chili - 1/3 or 3,,
22,Garlic clove - 1/2 or 4,,
22,Curry leaves - Few,,
22,Turmeric powder - ½ teaspoon,,
22,Mustard seeds - ½ teaspoon,,
22,Curry powder - 1/6 tablespoon,,
22,Thin tamarind juice - 33 1/3ml,,
22,Water - As you want (I used 333 1/3ml),,
22,Salt - As you need,,
22,Cooking oil - As you need,,
23,Pazhaya soru/Leftover rice - 2/3 cups,,
23,Water - 166 2/3ml,,
23,Semi thick coconut milk - 116 2/3ml,,
23,Onion (Shallots) - 33 1/3g,,
23,Green chili - 2/3,,
23,Lime - ½,,
23,Salt - As you want,,
24,Fish pieces - 12 1/2g,,
24,Potatoes - 17 1/2g,,
24,Finely chopped onion - 2 1/2 to 75g,,
24,Crushed ginger - ½ tablespoon,,
24,Crushed garlic - 0.05 tablespoon,,
24,Green chili - 1/5 or 5,,
24,Chopped curry leaves - 1/10 sprigs,,
24,Grounded black pepper - 0.05 ½ teaspoon,,
24,Turmeric powder - ¼ teaspoon,,
24,Egg - 0.05,,
24,Bread crumbs - 5g,,
24,Salt - As you need,,
24,Cooking oil - As you need,,
24,Lime - ½,,
25,Semolina/Rava - 17 6/7g,,
25,Sugar - 23 3/14g,,
25,Ghee - 5/14 tablespoons,,
25,Water - 44 9/14ml,,
25,Kesari powder - 0.04 teaspoon,,
25,Cardamom powder - 0.04 teaspoon,,
25,Cashew nuts - 1 11/14g,,
25,Raisins - 1 11/14g,,
26,Ash plantain - 133 1/3g,,
26,Onion - 16 2/3g,,
26,Thin coconut milk - 66 2/3ml,,
26,Thick coconut milk - 33 1/3ml,,
26,Green chili - 1 1/3 or 5,,
26,Lime - ½,,
26,Turmeric powder - ½ teaspoon,,
26,Curry leaves - Few,,
26,Salt - As you need,,
27,Country chicken - 1/5kg (After peeling off the skin),,
27,Onion - 20g,,
27,Garlic paste - 1/5 tablespoon,,
27,Ginger paste - 1/5 teaspoon,,
27,Turmeric powder - ¾ teaspoon,,
27,Coriander seeds - 1/5 ½ tablespoon,,
27,Fennel seeds - 1/5 tablespoon,,
27,Cumin seeds - ½ teaspoon,,
27,Black pepper - 1/5 tablespoon,,
27,Dried red chili - 4 to 25 (About 30g),,
27,Cardamom - 1 1/5 to 8,,
27,Crushed cinnamon - ¾ tablespoon,,
27,Thin coconut milk - 80ml,,
27,Salt - As you need,,
27,Curry leaves - Few,,
27,Cooking oil - As you need,,
28,Tomato - 116 2/3g,,
28,Onion - 33 1/3g,,
28,Dried red chili - 1 2/3 or 6,,
28,Curry leaves - Few,,
28,Mustard seeds - 1/3 teaspoon,,
28,Fennel seeds - ¼ teaspoon,,
28,Salt - As you need,,
28,Cooking oil - As you need,,
29,Fish - 6 2/3g (Flesh only after boiled),,
29,Spring roll paper - 2/3 sheets,,
29,Potato - 16 2/3g,,
29,Onion - 5g,,
29,Green chili - 1/6 to 7,,
29,Garlic clove - 2/15 to 6,,
29,Curry leaves - Few,,
29,Curry powder - 0.03 tablespoon,,
29,Turmeric powder - ½ teaspoon,,
29,Mustard seeds - ½ teaspoon,,
29,Lime - ½,,
29,Salt - As you wish,,
29,Water - As you wish,,
29,Cooking oil - As you wish,,
30,Noodles - 100g,,
30,Cabbage - 25g,,
30,Carrot - 31 1/4g,,
30,Banana pepper - 12 1/2g,,
30,Leeks - 25g,,
30,Onion - 37 1/2g,,
30,Soya meat - 30g (Optional),,
30,Curry leaves - 1/2 sprigs,,
30,Ginger paste - ½ teaspoon,,
30,Garlic paste - 1/4 teaspoon,,
30,Turmeric powder - ¼ teaspoon,,
30,Salt - As you want,,
30,Cooking oil - As you need,,
31,All-purpose flour - 1/15kg,,
31,Green bean - 2 2/3g,,
31,Carrot - 3 1/3g,,
31,Leeks - 3 1/3g,,
31,Green chili - 3 1/3g,,
31,Onion - 11 2/3g,,
31,Grated coconut - 13 1/3g,,
31,Baking powder - 1/15 teaspoon,,
31,Sugar - 1/15 tablespoon,,
31,Salt - As you wish,,
31,Water - 26 2/3ml,,
31,Cooking oil - 4/15 tablespoons,,
32,Beetroot - 83 1/3g (After pealing of the skin),,
32,Onion - 16 2/3g,,
32,Green chili - 2/3 to 4,,
32,Thin coconut milk - 50ml,,
32,Turmeric powder - ¼ teaspoon,,
32,Salt - As you want,,
32,Curry leaves - Few,,
32,Cooking oil - 2/3 tablespoons,,
33,Snake gourd - 116 2/3g,,
33,Thick coconut milk - 58 1/3ml,,
33,Onion - 16 2/3g,,
33,Green chili - 2/3 or 3,,
33,Curry leaves - Few,,
33,Turmeric powder - ¼ teaspoon,,
33,Salt - As you wish,,
33,Cooking oil - 2/3 tablespoons,,
34,Basmati rice - 87 1/2g,,
34,Soy meat - 25g (Optional),,
34,Carrot - 25g,,
34,Leeks - 18 3/4g,,
34,Green bean - 18 3/4g,,
34,Onion - 31 1/4g,,
34,Garlic paste - 1/4 teaspoon,,
34,Ginger paste - ¼ teaspoon,,
34,Turmeric powder - ¼ teaspoon,,
34,Curry leaves - 1/2 sprigs,,
34,Salt - As you wish,,
34,Cooking oil - As you wish,,
35,Eggplant - 116 2/3g,,
35,Onion - 16 2/3g,,
35,Sugar - 1/3 ¼ tablespoon,,
35,Crushed cardamom - 2/3 to 4,,
35,Crushed cinnamon - ½ teaspoon,,
35,Ginger paste - ¼ teaspoon,,
35,Garlic paste - ½ teaspoon,,
35,Chili powder - 1/3 teaspoon,,
35,Turmeric powder - ½ teaspoon,,
35,Thick coconut milk - 3 1/3 tablespoons,,
35,Very thick tamarind juice - 2/3 tablespoons,,
35,Salt - As you wish,,
35,Cooking oil - As you need,,
36,Drumstick leaves - 50g,,
36,Grated coconut - 1 1/2 tablespoons,,
36,Onion - 25g,,
36,Green chili - 1/2 or 2,,
36,Dried red chili - 1/2 or 2,,
36,Mustard seeds - ¼ teaspoon,,
36,Turmeric powder - 1 Pinches,,
36,Cooking oil - 1/2 tablespoon,,
36,Salt - As you wish,,
37,Soya meat packet - 30g,,
37,Onion - 30g,,
37,Thick coconut milk - 41 2/3ml,,
37,Water - 100ml,,
37,Curry powder - 1/3 ½ tablespoon,,
37,Turmeric powder - ¼ teaspoon,,
37,Mustard seeds - ½ teaspoon,,
37,Garlic paste - ¾ tablespoon,,
37,Lime - ½,,
37,Curry leaves - Few,,
37,Salt - As you need,,
37,Cooking oil - As you need,,
38,Long Beans - 75g,,
38,Onion - 18 3/4g,,
38,Garlic Cloves - 3/4 or 4,,
38,Curry Leaves - Few,,
38,Curry Powder - 1/4 ½ tablespoon,,
38,Thin coconut Milk - 50ml,,
38,Thin tamarind Juice - 25ml,,
38,Mustard Seeds - ¼ teaspoon,,
38,Fenugreek Seeds - ¼ teaspoon,,
38,Salt - As you need,,
38,Cooking Oil - As you need,,
39,Pennywort/Centella Asiatica/Gotu Kola/Vallarai - 12 1/2g,,
39,Carrot - 25g,,
39,Onion - 10g,,
39,Green chili - 3/4 to 5,,
39,Grated coconut - 1/2 tablespoons,,
39,Salt - As you need,,
39,Lime - ½,,
40,Bitter Gourd - 75g,,
40,Onion - 25g,,
40,Green Chili - 1 or 3,,
40,Garlic Cloves - 1 or 3,,
40,Curry Leaves - Few,,
40,Thin Coconut Milk - 200ml,,
40,Tamarind Juice - 50ml,,
40,Curry Powder - 1/2 ¼ Tablespoon,,
40,Fenugreek Seeds - ¼ Teaspoon,,
40,Turmeric Powder - ¼ Teaspoon,,
40,Sugar - ¼ Teaspoon,,
40,Cooking Oil - 1/2 Tablespoon,,
40,Salt - As you need,,
40,Water - As you need,,
41,Ponnanganni keerai/Alternanthera sessilis - 62 1/2g,,
41,Grated coconut - 1 tablespoons,,
41,Large onion - ½,,
41,Green chili - 1/2 or 2,,
41,Red chili - 1/2 or 2,,
41,Turmeric powder - ¼ teaspoon,,
41,Salt - As you need,,
41,Cooking oil - As you need,,
42,Beef - 1/6kg,,
42,Tomato - 25g,,
42,Onion - 16 2/3g,,
42,Garlic cloves - 5/6 or 6,,
42,Ginger root - Small (About the size of a large garlic clove),,
42,Curry Leaves - Few,,
42,Turmeric powder - ½ teaspoon,,
42,Curry powder - 1/2 tablespoons,,
42,Thick coconut milk - 25ml,,
42,Water - 41 2/3ml,,
42,Salt - As you need (KETO people use the Himalayan Pink Salt),,
42,Cooking oil - As you need (KETO people use the Organic Coconut Oil),,
43,Kurakkan noodles - 1/5 packet (400g),,
43,Carrot - 40g,,
43,Green beans - 10g,,
43,Cabbage - 14g,,
43,Onion - 40g,,
43,Curry leaves - 2/5 or 3 sprigs,,
43,Cooking oil - As you need,,
43,Salt - As you need,,
43,Crushed garlic - ½ tablespoon,,
43,Crushed ginger - ¼ tablespoon,,
43,Mustard seeds - ½ teaspoon,,
43,Maggi vegetable stock cube - 1/5 tablespoon,,
43,Dry roast grated coconut - 4/5 or 5 tablespoons,,
44,prawn/shrimp - 100g (Before peeling off the skin),,
44,Fenugreek seeds - 1/3 teaspoon,,
44,Turmeric powder - ½ teaspoon,,
44,Mustard seeds - ½ teaspoon,,
44,Onion - 16 2/3g,,
44,Garlic cloves 1 2/3 or 6,,
44,Curry leaves - Few,,
44,Thick tamarind juice - 16 2/3ml to 75ml,,
44,Thin coconut milk - 83 1/3ml,,
44,Thick coconut milk - 16 2/3ml,,
44,Curry powder - 1/3 ½ tablespoon,,
44,Salt - As you need,,
44,Cooking oil - As you need,,
45,Beef - 125g,,
45,Potatoes - 62 1/2g,,
45,Basmati rice - 87 1/2g,,
45,Onion - 25g,,
45,Green chili - 1 1/2 to 8,,
45,Garlic clove - 1 to 6,,
45,Ginger root - Small (About the size of 1/4 garlic clove),,
45,Thick coconut milk - 75ml,,
45,Curry leaves - Few,,
45,Fennel seeds - 1/4 tablespoon,,
45,Cumin seeds - ½ teaspoon,,
45,Black pepper - 1/4 tablespoon,,
45,Coriander seeds - 1/4 teaspoon,,
45,Turmeric powder - ½ teaspoon,,
45,Cardamom - 1 1/2 to 8,,
45,Crushed cinnamon - ½ tablespoon,,
45,Salt - As you need,,
45,Cooking oil - As you need,,
46,Dried red chili - 3 1/3 to 15,,
46,Grated coconut - 33 1/3g,,
46,Onion - 10g,,
46,Curry leaves - Few,,
46,Split skinned black gram/Urad dal - 1/3 teaspoon,,
46,Fennel seeds - ¼ teaspoon,,
46,Mustard seeds - ¼ teaspoon,,
46,Very thick tamarind juice - 1/3 ½ teaspoons,,
46,Water - 33 1/3ml,,
46,Cooking oil - As you need,,
46,Salt - As you need,,
47,Ingredients,,
47,Large onion - ½,,
47,Garlic cloves - 1 to 6,,
47,Ginger - Small (About the size of one garlic clove),,
47,Coriander seeds - 1/4 tablespoon,,
47,Cumin seeds - 1/4 ½ teaspoons,,
47,Black pepper - 1/4 teaspoon,,
47,Dried red chili - 1/4 or 2,,
47,Fennel seeds - ¼ teaspoon,,
47,Turmeric powder - ¼ teaspoon,,
47,Asafoetida/Hing powder - ¼ teaspoon,,
47,Salt - As you want,,
47,Thin tamarind juice - 87 1/2ml,,
47,Water - 87 1/2ml,,
48,Dal/Dhal/Parippu - 50g,,
48,Onion - 33 1/3g,,
48,Thin milk - 116 2/3ml,,
48,Water 133 1/3ml,,
48,Garlic paste - ½ tablespoon,,
48,Dried red chili - 2/3 or 3,,
48,Curry leaves - Few,,
48,Mustard seeds - ¼ teaspoon,,
48,Cumin seeds - 2/3 pinches,,
48,Fennel seeds - ½ teaspoon,,
48,Turmeric powder - ½ teaspoon,,
48,Salt - As you wish,,
48,Cooking oil - As you need,,
49,Toasted Semolina/Sooji/Rava - 125g,,
49,Carrot - 37 1/2g,,
49,Green bean - 15g,,
49,Leeks - 25g,,
49,Onion - 25g,,
49,Curry leaves - Few,,
49,Butter - 1/2 tablespoon,,
49,Thin coconut milk - 200ml,,
49,Dried red chili - 1 or 3,,
49,Mustard seeds - ¼ teaspoon,,
49,Turmeric powder - ¼ teaspoon,,
49,Salt - As you wish,,
49,Cooking oil - As you need,,
50,Banana pepper - 100g,,
50,Onion - 37 1/2g,,
50,Garlic cloves - 2 to 6,,
50,Curry leaves - Few,,
50,Thin coconut milk - 125ml,,
50,Thick tamarind juice - 25ml,,
50,Curry powder - 1/2 ¼ tablespoons,,
50,Mustard seeds - ¼ teaspoon,,
50,Turmeric powder - ¼ teaspoon,,
50,Salt - As you wish,,
50,Cooking oil - As you wish,,
51,Tapioca/Cassava/Manioc - 125g,,
51,Curry Powder - 1/4 tablespoon,,
51,Turmeric powder - ¼ teaspoon,,
51,Onion - 12 1/2g,,
51,Green chilies - 1/2 or 3,,
51,Curry leaves - Few,,
51,Thick coconut milk - 37 1/2ml,,
51,Tamarind juice - 12 1/2ml,,
51,Salt - As you need,,
51,Water - 62 1/2ml,,
52,Okra/Ladies finger - 41 2/3g,,
52,Tomato - 41 2/3g,,
52,Large onion - ½,,
52,Green chilies - 2/3 or 3,,
52,Thin coconut milk - 83 1/3ml,,
52,Salt - As you need,,
52,Turmeric powder - ¼ teaspoon,,
52,Curry leaves - Few,,
53,Fish headpieces - 125g,,
53,Onion - 12 1/2g,,
53,Thin tamarind juice - 50ml,,
53,Thin coconut milk - 100ml,,
53,Garlic cloves - 3/4 to 5,,
53,Curry leaves - Few,,
53,Curry powder - 1/4 ½ tablespoon,,
53,Turmeric powder - ½ teaspoon,,
53,Fenugreek seeds - ¼ teaspoon,,
53,Salt - As you wish,,
54,Radish - 50g,,
54,Onion - 10g,,
54,Green chili - 2/3 or 3,,
54,Curry leaves - Few,,
54,Lime juice - 1/3 tablespoon,,
54,Turmeric powder - ½ teaspoon,,
54,Salt - As you need,,
54,Thin coconut milk - 66 2/3ml,,
54,Thick coconut milk - 16 2/3ml,,
55,Split skinned black gram/Urad dal - 4 1/6g,,
55,Idli rice/Parboiled rice - 12 1/2g,,
55,Salt - As you need,,
55,Water - As you need,,
56,Carrot - 37 1/2g,,
56,Tomato - 18 3/4g,,
56,Onion - 12 1/2g,,
56,Green chili - 1/2 or 3,,
56,Grated coconut - 1/2 tablespoons,,
56,Crushed black pepper - ½ teaspoon,,
56,Lime - ½,,
56,Salt - As you need,,
57,Green Moong Dal - 25g,,
57,Water - 200ml + 100ml,,
57,Thin coconut milk - 100ml,,
57,Small onion - 2 to 6,,
57,Red chili - 1 or 3,,
57,Garlic cloves - 1 or 3,,
57,Mustard seeds - ¼ teaspoon,,
57,Turmeric powder - ¼ teaspoon,,
57,Fennel seeds - ¼ teaspoon,,
57,Curry leaves - Few,,
57,Salt - As you need,,
57,Cooking oil - As you need,,
58,Dal/Dhal - 33 1/3g,,
58,Green chili - 2/3,,
58,Onion - 16 2/3g,,
58,Curry leaves - Few,,
58,Cumin seeds - ¼ teaspoon,,
58,Black pepper - ¼ teaspoon,,
58,Turmeric powder - ¼ teaspoon,,
58,Garlic - 1 or 4,,
58,Salt - As you need,,
58,Water - 116 2/3ml,,
58,Thick coconut milk - 33 1/3ml,,
59,Grated coconut - 50g,,
59,Dried red chili - 4 to 12,,
59,Small onion / Shallots - 2 1/2 to 7,,
59,Lime - ½,,
59,Sugar - ¼ teaspoon,,
59,Salt - As you need,,
60,Carrot - 83 1/3g,,
60,Onion - 16 2/3g,,
60,Green chilies - 2/3 or 3,,
60,Curry leaves - Few,,
60,Thick coconut milk - 50ml,,
60,Salt - As you need,,
60,Turmeric powder - ¼ teaspoon,,
60,Cooking oil - As you need,,
61,Split skinned black gram/Urad dal - 12 1/2g,,
61,Cold water - 1 1/2ml to 50ml,,
61,Onion - 2g,,
61,Green chili - 1/4 to 7,,
61,Curry leaves - Few,,
61,Water - As you need,,
61,Salt - As you need,,
61,Cooking oil - As you need,,
62,Eggplant - 83 1/3g,,
62,Tomato - 58 1/3g,,
62,Onion - 16 2/3g,,
62,Garlic clove - 1 or 4,,
62,Curry leaves - Few,,
62,Thick coconut milk - 83 1/3ml,,
62,Semi-thick tamarind juice - 16 2/3ml,,
62,Curry powder - 1/3 ½ tablespoon,,
62,Turmeric powder - ½ teaspoon,,
62,Fenugreek seeds - ¼ teaspoon,,
62,Salt - As you need (KETO people use the Himalayan Pink Salt),,
62,Cooking oil - As you need (KETO people use the Organic Coconut Oil),,
63,Potatoes - 133 1/3g,,
63,Onion - 50g,,
63,Split skinned black gram / Urad dal - 1/3 tablespoon,,
63,Turmeric powder - ½ teaspoon,,
63,Mustard seeds - ¼ teaspoon,,
63,Fennel seeds - ½ teaspoon,,
63,Green chili - 2 to 8,,
63,Water - 83 1/3ml,,
63,Lime - 1/3,,
63,Curry leaves - Few,,
63,Cooking oil - 1 1/3 to 5 tablespoon,,
63,Salt - As you need,,
64,Fish - 100g,,
64,Onion - 12 1/2g,,
64,Thin coconut milk - 125ml,,
64,Garlic clove - 1 1/4 or 6,,
64,Ginger root - Small (About the size of one garlic clove),,
64,Green chili - 3/4 or 4,,
64,Curry Leaves - Few,,
64,Fennel seeds - 1/4 tablespoon,,
