title,servings,estimated_cost_lkr,price_freshness_days,matched_ingredients,total_ingredients,match_percentage,low_confidence,skipped_reason,top_cost_contributors,is_main_dish,cost_per_100kcal,calories
Make Jackfruit Seed Fry Recipe | Crispy & Easy Vegan Dish,2,0.0,0,0,0,0.0,True,,,False,,
Simple Bitter Gourd Fry with Curd Sambol Recipe (KETO),4,0.0,0,0,0,0.0,True,,,False,,
Ash Gourd Curry Recipe (Puhul/Wax Gourd/Winter Melon),3,0.0,0,0,0,0.0,True,,,True,,
Easy Chana Masala Recipe for Chapathi (No Coconut Milk),5,0.0,0,0,0,0.0,True,,,False,,
Make Tomato Sodhi Recipe | Easy & Quick Vegan Sothi | KETO,5,0.0,0,0,0,0.0,True,,,False,,
[Fried] Eggplant Potato Tomato Curry Recipe | Brinjal Aloo Curry,6,0.0,0,0,0,0.0,True,,,True,,
How to Make Onion Achcharu in Jaffna? (Best & Simple),1,0.0,0,0,0,0.0,True,,,False,,
Simple Agathi Keerai Sodhi Recipe (Healthy | KETO),4,0.0,0,0,0,0.0,True,,,False,,
Simple Eggplant Milk Curry Recipe (Kathirikai Paal Curry),2,0.0,0,0,0,0.0,True,,,True,,
Make Sri Lankan Pumpkin Curry Recipe | Poosanikai Kootu,8,0.0,0,0,0,0.0,True,,,True,,
Green Chilli Coconut Sambal (Pol Sambol) Recipe | KETO,4,0.0,0,0,0,0.0,True,,,False,,
Best Jaffna Mutton Rolls Recipe Homemade (Step by Step Pics),35,0.0,0,0,0,0.0,True,,,False,,
How to Make Apple Toffee | Unique Sri Lankan Sweet,75,0.0,0,0,0,0.0,True,,,False,,
Simple Spring Onion Flower Recipe | Vengaya Thal Poo Varai,3,0.0,0,0,0,0.0,True,,,False,,
Sri Lankan Fish Sothi with Mango Recipe | Meen Sothi,2,0.0,0,0,0,0.0,True,,,False,,
Ammikallu Red Coconut Sambol | Jaffna Traditional Pol Sambal,2,0.0,0,0,0,0.0,True,,,False,,
Green Bean Coconut Milk Curry | Sri Lankan Bonchi Recipe,2,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Cabbage Potato Curry Recipe with Coconut Milk,8,0.0,0,0,0,0.0,True,,,True,,
Best Bitter Gourd Sambol Recipe | Pavakkai/Karawila Fried Salad,6,0.0,0,0,0,0.0,True,,,False,,
Sri Lankan Cassava Curry with Coconut Milk Recipe,6,0.0,0,0,0,0.0,True,,,True,,
Easy Sri Lankan Chickpea Breakfast | Simple Vegan Kadalai Recipe,3,0.0,0,0,0,0.0,True,,,False,,
Best Sambar Recipe without Sambar Powder & Coconut Milk,6,0.0,0,0,0,0.0,True,,,False,,
Pazhaya Soru Kanji | Neeragaram | Leftover Rice Recipe,3,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Style Fish Cutlet Recipe | Step by Step with Pictures,20,0.0,0,0,0,0.0,True,,,False,,
Best Rava Kesari Recipe without Milk | Easy & Tasty Sweet,28,0.0,0,0,0,0.0,True,,,False,,
Make Jaffna Ash Plantain Curry Recipe | Vazhakkai Paal Curry,3,0.0,0,0,0,0.0,True,,,True,,
Spicy Country Chicken Curry Recipe | Nattu Kozhi Kuzhambu,5,0.0,0,0,0,0.0,True,,,True,,
Easy Tomato Chutney Recipe for Dosa/Idli/Chapati/Paratha,3,0.0,0,0,0,0.0,True,,,False,,
Make Fish Samosa Recipe Without Peas (Easy & Tasty),30,0.0,0,0,0,0.0,True,,,False,,
Simple Vegetable Fried Noodles Recipe Without Soy Sauce,4,0.0,0,0,0,0.0,True,,,True,,
Make Mixed Vegetable Roti Recipe (Easy | Tasty | Vegan),15,0.0,0,0,0,0.0,True,,,True,,
Easy Beetroot Curry Recipe for Rice with Pics (Non-Spicy),3,0.0,0,0,0,0.0,True,,,True,,
Make Snake Gourd Curry with Milk for Rice (Easy & Tasty),3,0.0,0,0,0,0.0,True,,,True,,
Make Vegetable Fried Rice without Soy Sauce & Egg,4,0.0,0,0,0,0.0,True,,,True,,
Unique Eggplant Chutney Recipe | Jaffna Style Brinjal Chutney,3,0.0,0,0,0,0.0,True,,,False,,
Drumstick Leaves Stir Fry | Moringa Leaf Coconut Recipe,2,0.0,0,0,0,0.0,True,,,False,,
Spicy Soya Meat Curry Recipe with Coconut Milk | Vegan,3,0.0,0,0,0,0.0,True,,,True,,
How to Make Long Beans Curry | Thick & Spicy Snake Beans Recipe,4,0.0,0,0,0,0.0,True,,,True,,
Pennywort Salad Recipe with Carrot | Gotu Kola/Vallarai Sambal,4,0.0,0,0,0,0.0,True,,,False,,
Simple Bitter Gourd Recipe Curry for Rice | Pavakkai Kulambu,2,0.0,0,0,0,0.0,True,,,True,,
Ponnanganni Keerai Varai With Grated Coconut | Alternanthera Sessilis Recipe,2,0.0,0,0,0,0.0,True,,,False,,
Tasty & Spicy Beef Curry Recipe with Coconut & Tomato (KETO),6,0.0,0,0,0,0.0,True,,,True,,
Vegetable Kurakkan Noodles Recipe (Finger Millet),5,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Spicy Prawn Curry | Shrimp Curry Recipe with Coconut Milk,3,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Beef Biryani Recipe with Potatoes | Easy Homemade,4,0.0,0,0,0,0.0,True,,,True,,
Coconut Sambal For Dosa | Easy Red Chili Sambal Grinder,3,0.0,0,0,0,0.0,True,,,False,,
Simple Rasam Recipe Without Tomato And Rasam Powder (Healthy),4,0.0,0,0,0,0.0,True,,,False,,
Easy Dal Curry for Bread Recipe | Dhal/Parippu Coconut Milk Vegan,3,0.0,0,0,0,0.0,True,,,True,,
How to Make Vegetable Rava Upma | Easy & Healthy Breakfast,2,0.0,0,0,0,0.0,True,,,False,,
Spicy Banana Pepper Curry Recipe | Kari Milagai Puli Kuzhambu,2,0.0,0,0,0,0.0,True,,,True,,
How To Make Tapioca Curry Spicy (Cassava/Manioc/Maravalli Kizhangu),4,0.0,0,0,0,0.0,True,,,True,,
Okra Tomato Coconut Curry | Easy Lady’s Finger Milk Curry Recipe,3,0.0,0,0,0,0.0,True,,,True,,
Easy Fish Head Curry Spicy Recipe without Oil,4,0.0,0,0,0,0.0,True,,,True,,
Radish Curry Sri Lankan Recipe | Mullangi Curry for Rice,3,0.0,0,0,0,0.0,True,,,True,,
Easy Idli Dosa Batter (How To Make Idli & Dosa With Same Batter Homemade),60,0.0,0,0,0,0.0,True,,,False,,
Carrot Tomato Onion Salad | Easy Carrot Sambol Recipe,4,0.0,0,0,0,0.0,True,,,False,,
Green Moong Dal Recipe With Coconut | Green Gram Curry For Chapathi (Payaru),2,0.0,0,0,0,0.0,True,,,True,,
Dal Curry Recipe Sri Lanka | Parippu/Dhal Curry for Rice,3,0.0,0,0,0,0.0,True,,,True,,
Easy Coconut Sambal Recipe | Fresh Pol Sambol with Red Chili,2,0.0,0,0,0,0.0,True,,,False,,
Easy Carrot Curry Recipe for Rice with Coconut Milk,3,0.0,0,0,0,0.0,True,,,True,,
How To Make Ulundu Vadai Recipe With Pictures (Best & Soft),20,0.0,0,0,0,0.0,True,,,False,,
Spicy Eggplant Tomato Curry Coconut Milk | KETO,3,0.0,0,0,0,0.0,True,,,True,,
Make Potato Curry for Poori/Chapati Sri Lankan Style,3,0.0,0,0,0,0.0,True,,,True,,
Healthy Fish Curry without Oil & Red Chili | Easy Recipe,4,0.0,0,0,0,0.0,True,,,True,,
Tomato Rasam without Rasam Powder | Healthy Sri Lankan Recipe,4,0.0,0,0,0,0.0,True,,,False,,
How to Make Beef Pepper Fry Recipe | KETO | Easy,3,0.0,0,0,0,0.0,True,,,False,,
Eggplant Plantain Curry Recipe (Brinjal + Ash Plantain Milk Curry),2,0.0,0,0,0,0.0,True,,,True,,
Spicy Elephant Foot Yam Curry Recipe | Karunai Kizhangu,4,0.0,0,0,0,0.0,True,,,True,,
Make Simple Banana Flower Recipe | Vazhaipoo Fry | KETO,5,0.0,0,0,0,0.0,True,,,False,,
Spicy Drumstick Curry Recipe | Murungakkai Kuzhambu,4,0.0,0,0,0,0.0,True,,,True,,
Unique Ash Plantain Fry Dish | Vazhakkai Sambal | Jaffna,4,0.0,0,0,0,0.0,True,,,False,,
Make Seeni Sambol Recipe | Sri Lankan | Quick & Easy,3,0.0,0,0,0,0.0,True,,,False,,
Simple Cabbage Stir Fry Recipe with Coconut Step by Step,3,0.0,0,0,0,0.0,True,,,False,,
Fenugreek Seed Curry Recipe | Vendhaya Kuzhambu with Coconut,2,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Spicy Fish Curry Recipe with Coconut | Meen Kulambu,3,0.0,0,0,0,0.0,True,,,True,,
Deep Frying Shrimp with Cornstarch | Unique Prawns Fry,4,0.0,0,0,0,0.0,True,,,False,,
Easy Sri Lankan Roasted Curry Powder Recipe Homemade,1,0.0,0,0,0,0.0,True,,,True,,
"Easy Beef Stew with Potatoes Recipe (No Wine, Tomato & Carrot)",8,0.0,0,0,0,0.0,True,,,True,,
Best Masala Dosa Filling Recipe | Spicy | Homemade,2,0.0,0,0,0,0.0,True,,,False,,
Simple Nutella Brownie Recipe with 4 Ingredients (No Butter),16,0.0,0,0,0,0.0,True,,,False,,
Cook Sri Lankan Curry Chicken | Easy | Spicy | KETO,3,0.0,0,0,0,0.0,True,,,True,,
Make Drumstick Coconut Curry Recipe | Murungakkai Paal Curry,3,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Spinach Curry Recipe | Keerai Curry | KETO,8,0.0,0,0,0,0.0,True,,,True,,
Easy Chicken Curry without Coconut Milk or Cream | KETO | Spicy,5,0.0,0,0,0,0.0,True,,,True,,
Best Deviled Chicken Recipe Sri Lankan (Simple & Tasty),4,0.0,0,0,0,0.0,True,,,False,,
Mutton Boti Curry Recipe | Goat Intestine Gravy | Sri Lankan Babath,5,0.0,0,0,1,0.0,True,,,True,,
How to Cook Raw Shrimp with Shell on? | KETO Spicy Prawn Curry,2,0.0,0,0,0,0.0,True,,,True,,
How to Cook Mutton Blood Fry? | Goat Blood Poriyal Jaffna,5,0.0,0,0,0,0.0,True,,,False,,
Prawn Fried Noodles Recipe | Best Fried Shrimp Noodles,4,0.0,0,0,0,0.0,True,,,True,,
Spicy Chicken Thick Gravy Recipe without Coconut Milk (KETO),5,0.0,0,0,0,0.0,True,,,False,,
Spicy Beef Oxtail Curry Recipe without Wine or Coconut (KETO),6,0.0,0,0,0,0.0,True,,,True,,
Easy Chicken Spring Roll Recipe Step by Step with Pictures,35,0.0,0,0,0,0.0,True,,,False,,
Meen Theeyal Recipe | Whole Fish Dish without Coconut,2,0.0,0,0,0,0.0,True,,,False,,
How To Make Kothu Roti At Home | Easy Beef Koththu Parotta Recipe,7,0.0,0,0,0,0.0,True,,,True,,
Make Beef Rolls Recipe Homemade | Crispy | Sri Lankan,50,0.0,0,0,0,0.0,True,,,False,,
"Simple Deep Fry Fish Recipe without Egg, Flour, Breading (KETO)",3,0.0,0,0,0,0.0,True,,,True,,
Best & Simple Chicken Fry Recipe with Pictures (Yummy),6,0.0,0,0,0,0.0,True,,,False,,
Best Chicken Kottu Roti Recipe | Sri Lankan Kothu Parotta Homemade,7,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Fish Sothi Recipe with Tomato | KETO | Simple Meen Sothi,4,0.0,0,0,0,0.0,True,,,False,,
Easy Chicken and Egg Soup Recipe with Cornstarch (No Broth),10,0.0,0,0,0,0.0,True,,,True,,
Shredded Chicken Fried Noodles with Vegetables Recipe,4,0.0,0,0,0,0.0,True,,,True,,
Spicy Tinned Fish Sandwich Toast Recipe with Potato Masala,10,0.0,0,0,0,0.0,True,,,False,,
Squid Ink Sodhi Recipe Sri Lanka (Kanava/Cuttlefish Ink),4,0.0,0,0,0,0.0,True,,,False,,
Red Coconut Sambol with Maldive Fish | Jaffna Maasi Sambal,2,0.0,0,0,0,0.0,True,,,False,,
Best Tin Fish Curry Recipe without Potatoes (Easy & Spicy),4,0.0,0,0,0,0.0,True,,,True,,
Tasty Chicken Samosa Recipe with Step by Step Pics | Homemade,30,0.0,0,0,0,0.0,True,,,False,,
Spicy Egg Curry Recipe for Rice | Simple Muttai Kuzhambu,2,0.0,0,0,0,0.0,True,,,True,,
"Best Chicken Fried Rice Recipe without Egg, Peas, & Soy Sauce",4,0.0,0,0,0,0.0,True,,,True,,
Easy Pork Curry with Coconut Milk Recipe (Spicy & Tasty),3,0.0,0,0,0,0.0,True,,,True,,
Whole Fish Fry with Bread Crumbs Recipe | Deep Fry Meen Poriyal,3,0.0,0,0,0,0.0,True,,,True,,
How To Make Spicy Crab Curry Recipe (Easy & Tasty Nandu Kuzhambu),4,0.0,0,0,0,0.0,True,,,True,,
How To Make Jaffna Odiyal Kool At Home (Spicy Seafood Soup),8,0.0,0,0,0,0.0,True,,,True,,
Fish Curry Without Tamarind And Chili Powder (Sprat Fish Sothi With Tomatoes),3,0.0,0,0,0,0.0,True,,,True,,
Fish Curry Recipe Without Tomato And Oil (Healthy & Easy Cooking),3,0.0,0,0,0,0.0,True,,,True,,
Easy Fish Egg Fry Recipe Sri Lankan | Grey Mullet Fish Egg Fry,3,0.0,0,0,0,0.0,True,,,False,,
Good Whole Roast Chicken Recipe Sri Lankan Style With Lime Garlic,5,0.0,0,0,0,0.0,True,,,False,,
Whole Baby Squid Recipe | Spicy Baby Calamari Curry With Coconut,2,0.0,0,0,0,0.0,True,,,True,,
Thick & Spicy Potato Curry for Chapathi (with Maldives Dry Fish),3,0.0,0,0,0,0.0,True,,,True,,
Deviled Beef Recipe Sri Lanka | Easy & Tasty Beef Fry,4,0.0,0,0,0,0.0,True,,,False,,
Spicy Dried Sprats Curry Recipe | Nethili Karuvadu Kuzhambu,3,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Spicy Mutton Curry Recipe without Tomato (KETO),6,0.0,0,0,0,0.0,True,,,True,,
Tasty Prawn Varai Recipe | Unique Shrimp (Eral) Dish | KETO,3,0.0,0,0,0,0.0,True,,,False,,
Easy Chicken Stew with Potatoes Recipe | Spicy | Healthy,6,0.0,0,0,0,0.0,True,,,True,,
Best Fish Stew Recipe without Tomatoes | KETO Friendly,4,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Style Squid Curry | Spicy Cuttlefish Recipe,4,0.0,0,0,0,0.0,True,,,True,,
Make Beef Stew without Potatoes & Tomatoes | KETO,6,0.0,0,0,0,0.0,True,,,True,,
Sri Lankan Style Fish Patties Recipe with Potatoes(Deep Fry),40,0.0,0,0,0,0.0,True,,,False,,
Make Aracha Meen Kulambu Recipe (Healthy Fish Curry),4,0.0,0,0,0,0.0,True,,,True,,
Simple Red Rice Flour Puttu Recipe (Step by Step Pictures),5,0.0,0,0,0,0.0,True,,,True,,
How to Make White Puttu | All-Purpose Flour Puttu Sri Lankan,5,0.0,0,0,0,0.0,True,,,False,,
Make String Hoppers Homemade Recipe (Red Rice Flour + Plain Flour),25,0.0,0,0,0,0.0,True,,,True,,
Whole Wheat Flour String Hoppers Recipe (Atta Flour Idiyappam),17,0.0,0,0,0,0.0,True,,,True,,
How to Make Soft Chapati Roti without Oil or Butter (Quick & Easy),15,0.0,0,0,0,0.0,True,,,True,,
How To Make Sri Lankan Dosa Recipe | Jaffna Style Dosa Quick & Easy,12,0.0,0,0,0,0.0,True,,,False,,
Easy Vanilla Butter Cake Recipe without Milk Homemade,1,0.0,0,0,0,0.0,True,,,False,,
Sri Lankan Dodol Recipe without Sugar | Coconut & Jaggery Sweet,2,0.0,0,0,0,0.0,True,,,False,,
Make Best Nescafe Cake Recipe | Easy | Homemade,1,0.0,0,0,0,0.0,True,,,False,,
Best Milkmaid Rava Laddu Recipe without Coconut,30,0.0,0,0,0,0.0,True,,,False,,
The Best Moist Chocolate Cake Recipe [Ever] for Beginners (No Coffee),1,0.0,0,0,0,0.0,True,,,False,,
Simple & Fresh Fruit Salad Recipe without Honey,8,0.0,0,0,0,0.0,True,,,False,,
Best Milkmaid Caramel Pudding Recipe With Eggs | Sri Lankan Homemade,2,0.0,0,0,0,0.0,True,,,False,,
How to Make Sugar Murukku in Jaffna Style (Seeni Murukku),1250,0.0,0,0,0,0.0,True,,,False,,
How to Make Panangai Paniyaram | Palmyra Fruit Recipe,100,0.0,0,0,0,0.0,True,,,False,,
Sri Lankan Kokis,20,0.0,0,0,3,0.0,True,,,False,,
Sri Lankan Milk Toffee,30,3.15,0,1,1,100.0,False,,Sugar: Rs3.1,False,,
Simple Indian Beef Curry,4,4.5,0,1,6,16.7,True,,Coriander powder: Rs4.5,True,,
Sri Lankan String Hoppers (ඉඳිආප්ප),3,0.43,0,1,3,33.3,True,,salt: Rs0.4,True,,
Sri Lankan Pumpkin Curry,6,20.0,0,1,2,50.0,False,,Coconut milk: Rs20.0,True,,
Sri Lankan Lunu Miris,3,0.67,0,1,4,25.0,True,,lime Juice: Rs0.7,False,,
Black Pork Curry (Kalu Uru-Mas Curry),8,30.0,0,1,6,16.7,True,,cloves: Rs30.0,True,,
Sri Lankan Milk Tea,2,1.77,0,1,2,50.0,False,,Sugar: Rs1.8,False,,
Salmon Curry with Coconut Milk,4,0.0,0,0,7,0.0,True,,,True,,
Sri Lankan Coconut Sambol,5,0.0,0,0,6,0.0,True,,,False,,
Sri Lankan Fish Buns,12,6.87,0,1,5,20.0,True,,all purpose flour: Rs6.9,False,,
Sri Lankan Devilled Chicken,4,0.5,0,1,5,20.0,True,,l emon/lime juice: Rs0.5,False,,
Sri Lankan Hoppers,2,50.59,0,2,4,50.0,False,,of coconut milk: Rs50.0 | sugar: Rs0.6,True,,
Chicken Dum Biryani (Pakki style),4,10.0,0,2,10,20.0,True,,g hee: Rs6.0 | g hee: Rs4.0,True,,
Sri Lankan Black Pepper pork curry,5,0.0,0,0,5,0.0,True,,,True,,
The Best Sri Lankan Coconut Roti,3,9.0,0,1,2,50.0,False,,butter: Rs9.0,True,,
Sri Lankan Egg Rolls,10,4.4,0,1,5,20.0,True,,all purpose flour: Rs4.4,False,,
Black Pepper Chicken Curry,4,7.27,0,2,6,33.3,True,,g reen chilies: Rs4.0 | coconut oil: Rs3.2,True,,
Meat Curry Powder Recipe,8,0.0,0,0,2,0.0,True,,,True,,
Sri Lankan Ridge Gourd/ Watakolu Curry,4,0.0,0,0,4,0.0,True,,,True,,
Sri Lankan Eggplant Stir-Fry,4,0.0,0,0,6,0.0,True,,,False,,
Air-Fried Black Pepper Chicken,3,40.0,0,1,6,16.7,True,,Black peppercorns: Rs40.0,False,,
Sri Lankan Coconut Cake,20,1.37,0,1,8,12.5,True,,All purpose flour: Rs1.4,False,,
Sri Lankan Mango Curry,4,21.14,0,4,9,44.4,True,,roasted curry powder: Rs7.5 | coconut oil: Rs6.5 | chili powder: Rs4.5,True,,
Sri Lankan White Coconut Sambol,4,0.0,0,0,3,0.0,True,,,False,,
Whole Wheat Sri Lankan Thati Paan,3,19.46,0,4,10,40.0,True,,Whole wheat flour: Rs9.2 | Butter: Rs8.0 | Sugar: Rs1.6,False,,
Sri Lankan Malay Pickle,25,0.0,0,0,7,0.0,True,,,False,,
Sri Lankan Seeni Sambol,8,0.0,0,0,4,0.0,True,,,False,,
Green Bean and Potato Curry,4,0.0,0,0,4,0.0,True,,,True,,
Sri Lankan Gotu Kola Sambol,4,0.0,0,0,3,0.0,True,,,False,,
Sri Lankan Vegetable Soup,2,18.0,0,1,3,33.3,True,,Butter: Rs18.0,True,,
Sri Lankan Devilled Shrimp,4,8.94,0,2,12,16.7,True,,ketchup: Rs8.4 | lime juice: Rs0.5,False,,
Sri Lankan Kimbula Buns,8,17.24,0,3,6,50.0,False,,All purpose flour: Rs10.3 | Sugar): Rs5.9 | sugar: Rs1.0,False,,
Yellow Rice with Chicken and Vegetables,4,11.75,0,4,9,44.4,True,,Butter: Rs4.5 | butter: Rs4.5 | of garlic: Rs2.3,True,,
Sri Lankan Beef Kottu,3,17.0,0,2,11,18.2,True,,butter: Rs12.0 | oyster sauce: Rs5.0,True,,
Sri Lankan Devilled Fish,4,160.51,0,4,12,33.3,True,,Tuna Fish: Rs149.6 | chili sauce: Rs6.8 | of garlic: Rs2.7,False,,
Sri Lankan Cashew Curry,3,2.68,0,1,5,20.0,True,,g reen chili sliced: Rs2.7,True,,
Air-Fried Spicy chicken legs,2,0.54,0,1,6,16.7,True,,salt: Rs0.5,False,,
Sri Lankan Beetroot Curry,4,10.76,0,4,8,50.0,False,,curry powder*: Rs5.0 | coconut oil: Rs3.2 | beetroots: Rs1.9,True,,
Creamy Cauliflower Curry,4,0.0,0,0,3,0.0,True,,,True,,
Easy Broccoli Mallung,4,2.16,0,1,4,25.0,True,,coconut oil: Rs2.2,False,,
Sri Lankan Beef Curry in Instant Pot,6,279.42,0,4,6,66.7,False,,Beef chuck: Rs270.0 | chili powder: Rs4.5 | coconut oil: Rs4.3,True,,
Stir-fried Thai Eggplants,3,13.05,0,3,9,33.3,True,,g reen chilies: Rs8.0 | thick coconut milk: Rs2.5 | coconut milk: Rs2.5,False,,
Spicy Pan-Fried Pompano,2,23.58,0,2,5,40.0,True,,Chili powder*: Rs22.5 | Salt: Rs1.1,False,,
Sri Lankan Red Lentil Curry,4,2.01,0,1,3,33.3,True,,g reen chili: Rs2.0,True,,
Healthy Arugula Coconut Salad,2,0.0,0,0,2,0.0,True,,,False,,
Easy Stir-fried okra (Vegan),3,4.32,0,1,6,16.7,True,,coconut oil: Rs4.3,False,,
Easy Spicy Stir-fried Chicken,6,0.0,0,0,3,0.0,True,,,False,,
Chicken Curry with Roasted Coconut,6,1.8,0,1,6,16.7,True,,of garlic: Rs1.8,True,,
Sri Lankan Fried Eggplant Curry,5,42.24,0,3,6,50.0,False,,Eggplants: Rs36.4 | g reen chilies: Rs3.2 | coconut oil: Rs2.6,True,,
Sri Lankan Carrot Salad/Sambola,2,0.0,0,0,2,0.0,True,,,False,,
Sri Lankan Canned Mackerel curry,5,7.99,0,2,7,28.6,True,,chili powder: Rs5.4 | coconut oil: Rs2.6,True,,
Meatball Curry with Potatoes,1,60.0,0,3,9,33.3,True,,coriander powder: Rs27.0 | chili powder: Rs18.0 | cumin seeds: Rs15.0,True,,
Thai Eggplant (Thalana Batu) Curry,4,2.16,0,1,4,25.0,True,,coconut oil: Rs2.2,True,,
Spicy Easy Cabbage Stir-fry,4,0.0,0,0,6,0.0,True,,,False,,
Sri Lankan Thati Paan (flat-bread),6,14.03,0,4,9,44.4,True,,Butter): Rs7.2 | coconut oil: Rs4.7 | Sugar: Rs1.4,True,,
Sri Lankan Fish Cutlets,20,12.0,0,1,4,25.0,True,,breadcrumbs: Rs12.0,False,,
Simple Spicy Beef Fry,5,273.07,0,3,9,33.3,True,,Beef: Rs270.0 | coconut oil: Rs2.6 | white vinegar: Rs0.5,False,,
Sri Lankan Creamy Potato Curry,4,0.0,0,0,4,0.0,True,,,True,,
Sausage / Hot dog Stir-fry,1,0.0,0,0,5,0.0,True,,,False,,
Sri Lankan Spicy Lentil Curry,1,26.64,0,2,4,50.0,False,,red chili powder: Rs18.0 | coconut oil: Rs8.6,True,,
Easy Moist Butter Cake,16,0.0,0,0,4,0.0,True,,,False,,
Curry Leaves rice with vegetables,2,47.11,0,4,7,57.1,False,,Rice: Rs26.4 | Butter: Rs9.0 | Butter: Rs9.0,True,,
Sri Lankan Vegetable Roti (Elawalu Roti),12,2.16,0,1,5,20.0,True,,coconut oil: Rs2.2,True,,
Sri Lankan Chicken Curry,1,45.3,0,4,11,36.4,True,,roasted curry powder: Rs20.0 | coconut oil: Rs13.0 | Tamarind paste: Rs11.2,True,,
Sri Lankan Chicken Biryani,4,57.25,0,3,9,33.3,True,,cloves: Rs50.0 | Corriander powder: Rs6.8 | lime juice: Rs0.5,True,,
Kiribath (Sri Lankan Milk Rice),4,50.54,0,2,3,66.7,False,,Thick coconut milk: Rs50.0 | Salt: Rs0.5,True,,
Sri Lankan Eggplant Moju,6,27.76,0,3,6,50.0,False,,Eggplant: Rs25.0 | coconut oil: Rs2.2 | Vinegar: Rs0.6,False,,
Spicy Pan-Fried Chicken Drumsticks,5,11.45,0,4,12,33.3,True,,garlic (6: Rs4.8 | chili powder: Rs3.6 | g inger: Rs1.6,False,,
Salmon Coconut milk Curry,4,0.0,0,0,4,0.0,True,,,True,,
Sri Lankan Coconut Pancakes,12,18.13,0,2,5,40.0,True,,Dark brown sugar: Rs10.8 | All purpose flour: Rs7.3,False,,
Sri Lankan Beef Curry,4,41.58,0,4,10,40.0,True,,thin coconut milk: Rs30.0 | coconut oil: Rs6.5 | red chili powder: Rs4.5,True,,
Sri Lankan Meatball Curry,5,0.0,0,0,4,0.0,True,,,True,,
Grilled stuffed banana peppers,6,0.0,0,0,2,0.0,True,,,False,,
Sri Lankan Black Pork Curry,4,9.55,0,3,11,27.3,True,,chili powder: Rs4.5 | coconut oil: Rs3.2 | of garlic: Rs1.8,True,,
Sri Lankan Prawn/Isso Curry,3,4.32,0,1,6,16.7,True,,coconut oil: Rs4.3,True,,
Sri Lankan Chicken kottu,1,0.0,0,0,7,0.0,True,,,True,,
Vegan lotus root curry,4,10.06,0,1,4,25.0,True,,red chilies: Rs10.1,True,,
Vegetarian Spicy potato curry buns,8,3.0,0,1,5,20.0,True,,butter: Rs3.0,True,,
Sri Lankan Fish Ambul Thiyal,1,9.0,0,1,4,25.0,True,,red chili powder: Rs9.0,False,,
Air-fried eggplant salad,3,0.0,0,0,1,0.0,True,,,False,,
Sri Lankan Malu Miris (Capsicum) Curry,4,0.0,0,0,2,0.0,True,,,True,,
Sri Lankan Dry Fish Curry,4,60.0,0,2,5,40.0,True,,thin coconut milk: Rs30.0 | thick coconut milk: Rs30.0,True,,
Sri Lankan Red Pork Curry,4,376.75,0,2,6,33.3,True,,pork: Rs370.0 | chili powder: Rs6.8,True,,
Sri Lankan Green Bean Curry,4,33.24,0,2,4,50.0,False,,thick coconut milk: Rs30.0 | coconut oil: Rs3.2,True,,
Roast Chicken – Sri Lankan Style,1,64.78,0,5,8,62.5,False,,black peppercorns: Rs40.0 | coconut oil: Rs13.0 | chili powder): Rs9.0,False,,
Easy Sri Lankan Yellow Rice,4,5.85,0,2,6,33.3,True,,butter: Rs4.5 | of garlic: Rs1.4,True,,
Sri Lankan green beans stir-fry,4,2.16,0,1,3,33.3,True,,coconut oil: Rs2.2,False,,
Bread with Seeni Sambol filling (සීනි සම්බෝල පාන්),3,6.74,0,3,5,60.0,False,,Coconut oil: Rs4.7 | Sugar: Rs1.2 | Salt: Rs0.9,True,,
Sri Lankan potato fry (Ala thel dala),3,4.32,0,1,6,16.7,True,,Coconut oil: Rs4.3,False,,
Red Lentil Curry (In three ways),8,25.0,0,2,4,50.0,False,,coconut milk: Rs15.0 | cloves: Rs10.0,True,,
Chicken cheese bites with Habanero (Kochchi Bites),10,0.0,0,0,2,0.0,True,,,False,,
Crispy Chicken rolls with Habanero and cheese,15,0.0,0,0,3,0.0,True,,,False,,
Sri Lankan Red Chicken Curry,4,1.8,0,1,8,12.5,True,,of garlic: Rs1.8,True,,
Vegan green bean curry with coconut milk,2,0.0,0,0,5,0.0,True,,,True,,
Egg Biryani (Stir-fried),2,66.31,0,4,8,50.0,False,,cooked rice: Rs52.8 | coriander powder: Rs9.0 | /g reen chili: Rs4.0,True,,
Sri Lankan Fish Rolls,15,13.33,0,1,2,50.0,False,,Tuna: Rs13.3,False,,
Pani Walalu,15,11.52,0,1,2,50.0,False,,Dark brown sugar: Rs11.5,False,,
Sri Lankan Spicy Potato Curry,4,6.04,0,1,4,25.0,True,,red chilies: Rs6.0,True,,
Sri Lankan Egg Buns,6,0.79,0,1,5,20.0,True,,sugar: Rs0.8,False,,
